smiles,score,time
CC(C)=NNC1=NC(=O)C(CC(=O)Nc2cc(Cl)ccc2C)S1,-8.99,5.019
O=C1CC(c2ccccc2)Cc2c1c(=O)c1cc(Cl)ccc1n2O,-11.37,4.673
O=C(Cn1cc(C(=O)OCc2ccccc2)nn1)NCc1ccccc1,-9.86,9.315
CCOc1ccc(S(=O)(=O)NC(Cc2c[nH]c3ccccc23)C(=O)O)cc1,-9.39,10.465
COc1cccc2cc(C(=O)NCc3ccccn3)c(=O)oc12,-9.11,4.628
CCCCN(C)C(=O)CSc1nc2ccccc2nc1Cc1ccc(C)cc1,-8.55,9.117
O=C(Nc1ccc(-c2nnc(NCCCN3CCCCC3)o2)cc1)C1CCCCCC1,-10.27,9.909
Cc1ccc(CS(=O)(=O)CCC(=O)NCCCOC(C)C)cc1,-8.18,7.857
CC(C)n1cc(NC(=O)C2CC3CCCCC3N2C(=O)c2ccccc2)cn1,-9.24,7.838
CCN(CC)CCCNC(=O)Nc1c(C)cccc1C(C)C,-7.42,7.556
COC(=O)CC(NC(=O)C=Cc1ccc(O)cc1)C(=O)OC,-8.06,6.505
CC1OC(c2ccccc2)(c2ccccc2)OC1C[N+](C)(C)C,-7.23,4.901
CCCn1nc(NC(=O)NC2C3CC4CC(C3)CC2C4)cc1C,-9.24,5.19
N#CC(C(=O)C12CC3CC(CC(C3)C1)C2)c1nc2ccccc2[nH]1,-9.4,5.272
O=C1c2cc(-c3ccc(C(F)(F)F)s3)ccc2OCCN1Cc1ccccn1,-10.11,6.37
CCN(Cc1ccccc1)C(=O)CSc1nc2ncccc2[nH]1,-9.43,6.705
C=C(C(=O)c1ccc(OC)cc1)C(OC(C)=O)C(CC)CC,-7.54,7.45
O=C1CCNc2cc3c(cc2CN1Cc1ccco1)OCO3,-7.22,4.993
CC(C)n1nc(-c2ccc3c(ccn3C(=O)OC(C)(C)C)c2)c2c(N)ncnc21,-9.82,7.367
O=C(CCNC(=O)c1cc2c(s1)SCC2)NCc1cccc(F)c1,-9.34,6.99
O=S(=O)(NCCN1CCOCC1)c1ccc2ccccc2c1,-8.92,5.713
CCOC(=O)C1CCCN(C(=O)CNC(=O)c2cccs2)C1,-7.59,6.911
O=C1C(SCCCCO)=C(SCCCCO)C(=O)c2ccccc21,-7.07,8.078
Cc1cccc(CNC(=O)CN2CC(C)Sc3ccccc32)c1,-9.2,5.698
CC(=O)Nc1ccc(OC(F)(F)C(F)C(F)(F)F)c(NC(C)=O)c1,-7.87,8.018
Cn1cc(C2=NCC(=O)N3CCc4c(cccc4N4CCOCC4)C3=C2)cn1,-9.63,6.588
Cc1[nH]c(C)c(S(=O)(=O)N2CCCCC2C)c1C(=O)N1CCCC1,-7.95,5.363
O=C(Nc1cccc(Oc2ccc3nc(NC(=O)C4CC4)cn3n2)c1)c1cccc(F)c1,-10.94,9.46
C=CCOc1cc(NC(=S)c2ccoc2C)ccc1OC,-7.55,6.155
COc1ccc2c(C)nc(Nc3nc(C)c(C)c(O)n3)nc2c1,-8.07,3.885
O=C(Nc1ccc2c(c1)CCC2)c1ncoc1-c1ccccc1F,-10.07,5.725
CC(C)N(C)S(=O)(=O)c1ccc2c(c1)CCN(C(=O)c1cscn1)C2,-10.02,6.132
Cc1nc(CC(C)C)sc1C(=O)N(CCC(N)=O)c1ccccc1,-7.74,8.447
COC(=O)C1C(c2ccc(OC)c(OC)c2)CC2CCC1N2C,-7.19,5.383
CCC(C)C(NC(N)=O)C(=O)Nc1ccc(OC)c(Cl)c1,-7.97,6.292
Cc1occc(=O)c1OCCCCCOc1c(C)n(-c2ccc(F)cc2)ccc1=O,-8.84,10.253
N#Cc1cn(-c2ccc(C(=O)O)c(O)c2)c2cc(OCC3CCC3)ccc12,-8.24,9.62
CC1(C)C=Cc2c(ccc3c(=O)c(-c4cccc(C=O)c4)coc23)O1,-11.4,3.842
COc1ccc(-c2cn3nc(-c4ccccc4)c(CN(C)C)c3n2C)cc1,-9.09,7.104
COc1ccc(CNC(=O)C(C#N)=Cc2cc3ccccc3o2)cc1,-9.86,6.885
CN(C)Cc1cc(C(C)(C)C)cc(I)c1O,-5.92,3.716
Cc1ccc(NC(=O)CCNS(=O)(=O)c2ccccc2)c(C(=O)c2ccccc2)c1,-10.67,12.667
CCCCC(CCCC)NNC(=O)c1cc(OC)c(OC)c(OC)c1,-7.85,9.608
COc1cc2c(cc1OC)-c1n[nH]c(C#Cc3ccc(C#N)cc3)c1C2,-9.51,7.781
C=C(c1ccc(OC)cc1)N(CCCCCC)C(=O)CCl,-7.2,6.884
CC(C)(C)C(=O)N1CCCC1C(=O)Oc1ccccc1C(=O)O,-8.13,7.089
CC(C)NC(=O)CN(C)C(=O)c1ccc2cc(Oc3ccc(C(F)(F)F)nc3)ccc2n1,-11.24,9.954
Cc1nnc(SCC(=O)c2cc(C)n(C3CC3)c2C)s1,-8.08,5.643
CC1CCCC(C)N1C(=O)CN1c2cccc3cccc(c23)S1(=O)=O,-9.17,4.617
CC(C)(C)OC(=O)Nc1scnc1C(=O)Nc1nccs1,-6.67,5.451
Cc1cc(=O)[nH]c(-n2nc(C)cc2NC(=O)CCc2ccccc2)n1,-9.27,5.999
CCNC(=O)c1cc(S(=O)(=O)NCC)c(OC)cc1OC,-6.8,6.614
COc1ccc(-c2cc(-c3cccc(NS(C)(=O)=O)c3)nc(N)c2C#N)cc1OC,-9.33,10.145
CCN(CC)C(=O)C(C)OC(=O)COc1ccc(Cl)cc1Cl,-8.05,6.26
Cc1cccc(C(=O)OCC(=O)NN2C(=O)NC3(CCC(C)CC3)C2=O)c1O,-10.18,8.104
Cc1ccnc(N2CCC(C(=O)NCc3ccc4c(c3)OCO4)CC2)n1,-9.71,6.198
NC(=O)C(NCc1nn(-c2ccccc2)c2c1CCC2)c1ccccc1,-10.7,8.731
CC1=CC(=O)c2c(COC(N)=O)c3n(c2C1=O)CC1C3N1C,-7.58,5.438
CCCCN(CCCC)S(=O)(=O)c1ccc(NC(=O)c2cccs2)cc1,-8.59,9.668
CC(C)CCNC(=O)CNC(=O)C(CC(=O)NO)Cc1ccccc1,-9.09,10.616
CSCCC(NC(=O)c1nc(SC)ncc1Cl)C(=O)O,-6.88,6.141
CC(Cl)C=CC(=O)N(Cc1ccc(Br)cc1)CC(C)C,-7.04,6.624
COc1cc(I)c(Cl)cc1C(=O)N(C)CC(C)(C)O,-6.75,5.322
Sc1nnc(COc2ccccc2)n1N=Cc1c(Cl)cccc1Cl,-8.24,7.417
COCC(C)N1C(=O)c2ccc(C(=O)Nc3cccc(C)c3)cc2C1=O,-10.37,6.844
CCCCC1ON(C(=O)CCC2=CCOC2=O)N=C(C)OC1O,-8.15,6.866
CC(C)CNC(=O)c1c(N)n(N=Cc2ccc(F)cc2)c2nc3ccccc3nc12,-8.95,9.124
Cc1ccccc1CS(=O)(=O)c1cn(CC(=O)N2CCOCC2)c2ccccc12,-9.1,7.949
CCCCCCCCOc1ccc(CCC(C)=NNC(N)=S)cc1,-8.05,11.758
Nc1ncnc2c1C(=O)N(c1ccc(C3CCC(CC(=O)N4CCCC4)CC3)cc1)CCO2,-11.34,7.929
CN(C)Cc1ccc(CN2CCN(S(=O)(=O)c3ccc(Cl)cc3)CC2)cc1,-9.01,6.917
COC1CCC2(CC1)Cc1ccc(-c3cc(F)cc(C#N)c3)cc1C21N=C(N)N(C)C1=O,-8.73,6.767
O=C(CSc1nnc(O)nc1O)NN=CC=Cc1ccccc1,-9.39,7.183
Clc1ccccc1Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,-8.94,9.996
NC(CCc1ccccc1)c1csc(NC(=O)NCCc2ccccc2)n1,-10.01,7.943
CN(C)CCn1cc(S(=O)(=O)c2ccccc2)c2ccccc21,-8.04,5.642
CCc1ccc(S(=O)(=O)NCCc2c[nH]c3ccccc23)cc1,-9.26,6.944
CC(=O)NC(=Cc1ccccc1)C(=O)OCC(=O)Nc1ccc(C(N)=O)cc1,-10.23,10.495
CCSc1ncccc1C(=O)NC(CCSC)C(=O)OC,-6.4,7.423
COC(=O)C(C)C(C)Sc1ccc(Br)cc1,-6.88,4.321
COc1ccc(OCC2CCCN(Cc3ccncc3)C2)cc1,-8.55,6.015
Nc1ncc(-c2ccc(-c3ccccc3S(=O)(=O)c3ccnc(N)n3)cc2F)cn1,-9.79,9.722
CC(C)c1cc(CNC(=O)C(=O)Nc2ccc(F)c(Cl)c2)on1,-9.19,6.235
CN(C)CC(OC(=O)N1Cc2c(NC(=O)c3ccccc3)n[nH]c2C1(C)C)c1ccccc1,-11.57,11.39
