smiles,score,time
O=C1c2ccccc2C(=O)N1CCCCN1CCCC(c2c[nH]c3ccc(F)cc23)CC1,-10.84,7.791
CC(=O)Nc1ccc(CN2CC3CNc4ccc(C#N)cc4C3C2)cc1,-10.11,4.856
FC(F)(F)c1cc2c(OCCCCc3ccccc3)cc(Cl)cc2[nH]1,-8.88,5.956
Cc1cc2c(s1)-c1ccccc1N=C2N1CCN(C)CC1,-6.64,2.19
CCCCn1cc(CN2CC(Oc3ccc(OCc4ccccc4OC)cc3)CC2)nn1,-9.23,9.924
CC(C)CC(NC(=O)C1CCCC1)C(=O)NCC(N)=O,-7.29,4.763
O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,-11.62,4.839
COc1ccccc1N1CCN(Cc2cnn(-c3ccccc3)c2)CC1,-9.85,4.864
O=S(=O)(c1cccc2[nH]ccc12)N1CCCC(CCN2CCN(c3cccc4[nH]ccc34)CC2)C1,-10.89,9.25
Cc1cccc(CN2CCN(c3c(C)nc(-c4ccccc4)n3C)CC2)c1,-10.09,4.943
Nc1cccc(C(=O)NC(C)CN2CCN(c3cccc(Cl)c3Cl)CC2)c1,-9.37,5.877
CCCN1CC=C2c3ccc(O)cc3CCC21,-9.29,2.402
COC(=O)c1ccc(C=Cc2nc3ccccc3n2Cc2ccc(Cl)cc2)cc1,-9.59,6.932
O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(-c2cccnc2)cc1,-10.57,8.483
COc1ccccc1N1CCN(CCCCOc2cn(-c3ccc(C(C)C)cc3)nn2)CC1,-9.31,10.262
COc1ccccc1N1CCN(CCCCc2cn(-c3ccc(F)cc3)nn2)CC1,-9.9,7.875
Fc1cccc2c(C=CN3CCN(c4cccc5c4OCCO5)CC3)c[nH]c12,-10.52,4.596
COc1ccccc1N1CCN(CCCCNC(=O)C=Cc2ccc3c(c2)OCO3)CC1,-9.81,8.741
C#Cc1cccc(C(=O)NCCCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c1,-9.16,8.738
CSc1ccc(C2(O)CCN(Cc3coc4ccccc34)CC2)cc1,-9.67,4.462
CC(=O)NC1CCc2cc(CCN3CCN(c4n[nH]c5ccccc45)CC3)ccc21,-11.11,5.433
Cc1c(C(=O)NCCCCN2CCN(c3ccccc3Cl)CC2)cnn1-c1cccc(Cl)c1C,-10.43,9.851
Fc1ccccc1N1CCN(Cc2cnn(-c3ccccc3)c2)CC1,-9.81,4.445
COc1ccc(N2CCN(CCCNC(=O)CCCc3cn(-c4cccc(Cl)c4Cl)nn3)CC2)cc1,-9.19,13.118
COc1c(Cl)cccc1N1CCN(CCCCNC(=O)c2ccc3ccccc3n2)CC1,-9.92,8.554
O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc2ccccc2c1,-10.56,7.609
COc1ccccc1N1CCN(CCCCNC(=O)c2cnn3ccccc23)CC1,-9.4,7.715
COc1ccc(Cl)cc1-c1nc(CN2CCN(Cc3ccccc3)CC2)c[nH]1,-9.64,6.383
C=CCN1CCC2c3cccc(O)c3CCC21,-8.75,2.607
COc1ccccc1N1CCN(CCCNC(=O)c2cnn3ccccc23)CC1,-9.83,6.812
COc1cccc(N2CCN(CCN3CCCCCC3)C2=O)c1,-8.67,4.26
Cc1cc2c(s1)-c1ccccc1N=C2N1CCN(C)CC1,-7.52,2.211
COc1cc2c(cc1O)C1Cc3ccc(O)c(OC)c3CN1CC2,-9.46,3.238
CCc1ccccc1N1CCN(CCCCNC(=O)c2cc3cccc(Cl)c3o2)CC1,-9.68,8.414
c1ccc2c(N3CCN(CCCNc4ccc5c(c4)CCC5)CC3)cccc2c1,-10.71,6.226
CCCN(CCN1CCN(c2ccccc2)CC1)C1CCc2c(O)cccc2C1,-10.04,7.155
COc1c(C(=O)NC2CCN(Cc3ccccc3)C2)cc(C)c2ccccc12,-9.93,5.68
COc1ccccc1N1CCN(CCCc2ccc3[nH]c(=O)[nH]c3c2)CC1,-9.09,5.995
O=c1[nH]c2ccc(OCCN3CCN(c4ccccc4)CC3)cc2[nH]1,-9.66,4.955
Fc1ccc(OCCCN2CCN(c3ccccc3)CC2)cc1,-9.15,4.683
CCCN(CCc1ccccc1)C1CCc2c(O)cccc2C1,-9.34,4.422
COc1cc2c(cc1C)C1Cc3oc(CCCO)cc3CC1CC2,-9.19,3.424
CN1CCN(C2Cc3ccccc3Nc3ccc(-c4cccnc4)cc32)CC1,-8.8,4.488
Clc1ccc(N2CCN(CC3CC3c3ccccc3)CC2)cc1Cl,-9.94,3.966
CC(C)CCN1CCN2c3cccc4[nH]cc(c34)CC2C1,-8.78,2.953
CCCCCN1CCC2c3cccc4[nH]cc(c34)CC2C1,-9.34,3.311
CCCCN1CCN(c2cccc(OC)c2Cl)CC1,-7.39,3.819
Cn1c(CN2CCC(c3ccccc3F)CC2)nc2ccccc21,-10.08,4.086
Cc1ccc2c(c1)c1c(n2CCCc2ccccc2)CCN(C)CC1,-9.18,4.147
CON=C(CCN1CCN(c2ccccn2)CC1)c1ccc(Cl)c(Cl)c1,-9.36,5.689
Cc1cc2c(s1)-c1ccccc1N=C2N1CCN(C)CC1,-7.03,2.314
Cc1cc(C)c(-c2cccc(C(=O)NCCCN3CCN(c4ccccc4)CC(=O)C3)c2)o1,-10.94,8.764
Cc1ncsc1-c1nnc(SCCCN2CCCCCC(c3cccc(C(F)(F)F)c3)C2)n1C,-9.44,9.533
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,-9.9,7.081
O=C1N(CC2CCCCC2)CCN1c1cccc(Cl)c1,-8.8,3.276
Fc1ccc(N2CCN(CCCOc3ccc(Cl)cc3)CC2)cc1,-9.29,4.837
O=c1[nH]c2cccc(N3CCN(Cc4cccc(-c5ccccc5)c4)CC3)c2o1,-11.7,5.532
O=c1[nH]c2cccc(N3CCN(Cc4cccc(-c5ccccc5)c4)CC3)c2o1,-11.65,5.696
O=c1[nH]c2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2[nH]1,-9.46,7.153
CC(C)Cc1ccccc1N1CCC(NC2CCN(S(=O)(=O)Nc3ccccc3)CC2)CC1,-10.4,9.388
CC(C)Oc1ccccc1N1CCCN(CCCCOc2ccc3c(c2)NC(=O)CC3)CC1,-9.93,9.712
O=c1ccc2ccc(OCCCCN3CCCN(c4cccc(Cl)c4Cl)CC3)cc2[nH]1,-10.33,8.163
O=C1CCc2ccc(OCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,-9.84,8.2
OC1(c2ccc(Cl)cc2)CCN(CCCOc2ccc(F)cc2)CC1,-9.61,5.188
COc1ccccc1N1CCN(CCCCCCCCCC(=O)c2ccc(OC)cc2)CC1,-8.3,12.839
CCN(CC)CCNC(=O)c1cc(Cl)c(Cl)cc1OC,-7.11,4.399
COc1ccccc1N1CCN(CCCCCCCCCC(=O)c2ccc(OC)cc2)CC1,-8.29,12.806
O=S(=O)(NCCCCN1CCN(c2ccc(F)c(Cl)c2)CC1)c1csc2ccccc12,-10.09,8.722
c1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1S2,-7.32,2.434
O=c1ccc2ccc(OCCCCN3CCN(c4cccc5c4OCCO5)CC3)cc2[nH]1,-10.14,8.076
Cc1ccc(CN2CCN(CC(=O)N3c4ccccc4CC3C)CC2)cc1,-10.43,4.725
O=S(=O)(NCCCN1CCN(c2noc3ccccc23)CC1)c1ccco1,-8.89,5.668
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)nc2N1,-9.81,7.441
Cc1nc(C2CCN(Cc3ccccc3)CC2)cn1-c1ccccc1,-10.69,4.107
Cc1cc2c(s1)-c1ccccc1N=C2N1CCN(C)CC1,-6.9,2.438
OC1(c2ccc(Cl)cc2)CCN(CCCOc2ccc(F)cc2)CC1,-9.44,5.494
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,-10.16,7.411
Fc1ccccc1N1CCN(CCCNc2cccc(Cl)n2)CC1,-9.49,5.052
O=c1[nH]c2ccc(OCCN3CCN(c4ccccc4)CC3)cc2[nH]1,-9.6,4.918
COc1ccc2[nH]c(N3CCN(CCCCCNC(=O)c4cccc5ccccc45)CC3)cc2c1,-10.09,10.005
COc1ccc2[nH]cc(CN3CC=C(c4ccccc4)CC3)c2c1,-10.06,4.072
COc1cccc(CN2CCCC(c3c[nH]c4ccccc34)CC2)c1,-9.44,4.661
N#Cc1ccccc1N1CCN(CCCCOc2ccc3c(c2)NC(=O)CC3)CC1,-9.88,7.968
Cc1cc2c(cc1OCCCN1CCN(c3cccc4ccccc34)CC1)C(=O)OC2,-10.52,6.605
Cc1cc2c(cc1OCCCCN1CCN(c3cccc4cccc(F)c34)CC1)C(=O)CC2,-10.13,7.872
Fc1ccccc1N1CCN(CCCCNc2nc(-c3ccccc3)ncn2)CC1,-10.38,7.225
COc1ccccc1N1CCN(CCCCNc2ncccn2)CC1,-8.82,5.877
O=C1CC2(CCCC2)CC(OO)N1CCCCCN1CCC2cccc(F)cc21,-9.91,6.358
Cc1cccc(N2CCN(CCN3CCC(NC(=O)c4cccs4)CC3)CC2)c1,-9.84,6.837
COc1ccccc1N1CCN(CCCCNNC(=O)C(Cc2ccccc2)c2ccc(F)cc2)CC1,-10.18,14.302
c1ccc(N2CCN(CCN3CCCN(c4ncnc5ccccc45)CC3)CC2)cc1,-10.86,5.173
COc1ccccc1N1CCN(CCCCCNC(=O)c2cnn3ccccc23)CC1,-9.36,9.219
CC(C)(C)C(=O)NC1CCC(CCN2CCC(c3coc4ccccc34)CC2)CC1,-10.89,6.558
Cc1ccc(C)c(C(=O)CCCN2CCC(C)(c3cc(C)ccc3C)CC2)c1,-10.95,5.391
O=C1N(CCN2Cc3ccccc3C2)CCN1c1cccc(C(F)(F)F)c1,-10.58,4.973
CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,-8.3,5.47
O=S(=O)(CC1CC(Oc2ccc3c(c2)OCO3)CC1)N1CCN(c2ccccc2)CC1,-9.89,7.774
COc1ccccc1OCCNCCc1ccc(O)c(O)c1,-8.37,5.19
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,-10.06,5.918
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,-10.52,5.554
CCOc1ccc2c(c1)C=C=C1CCC(c3ccc(Cl)cc3)CNN1CCC2,-10.93,4.892
OC1(c2ccc(Cl)cc2)CCN(Cc2c[nH]c3ccccc23)CC1,-10.84,4.128
Cc1ccc2c(N3CCN(CCc4cccc(NC(=O)Nc5ccccc5)c4)CC3)ccnc2n1,-11.43,8.572
O=C(NCCN1CCN(c2ccnc3sc(F)cc23)CC1)c1ccc(F)cc1,-9.93,5.97
Cc1ccc(CN2CCC(CC(=O)N3c4ccccc4CC3C)CC2)cc1F,-11.56,5.011
CN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(-c4cnn(C)c4)cc23)CC1,-9.58,5.677
CN1CCc2ccccc2Cc2ccc(O)cc2C1,-7.83,2.226
CCOC(=O)c1cc2cc(OCCCCN3CCN(c4ccccc4OC)CC3)ccc2o1,-9.06,10.05
O=C1NCc2ccc(OCCCNN3CCN(c4cccc5c4CCCC5)CC3)cc21,-10.12,8.338
Cc1ccc(OCCNCCCOc2ccccc2)cc1,-8.17,5.063
C#Cc1cccc(C(=O)NCCCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c1,-9.15,8.479
