smiles,score,time
COc1ccccc1N1CCN(CCCCc2ccc(-c3nc4ccccn4n3)cc2)CC1,-10.31,8.033
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,-10.26,5.577
CNc1nc(Cl)c(SC)c(N2CCN(C)CC2)n1,-5.13,2.574
O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cccc(Cl)n1,-8.77,6.868
CC(C)Cc1ccccc1N1CCC(NC2CCN(S(=O)(=O)Nc3ccccc3)CC2)CC1,-10.54,9.465
CC1Cc2ccccc2N1C(=O)CN1CCN(Cc2cccc(F)c2)CC1,-9.58,4.855
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,-9.99,7.259
CCCN(CCc1ccccc1)C1CCc2c(O)cccc2C1,-9.3,4.531
Cc1cccc(S(=O)(=O)NCCCCN2CCN(c3nsc4ccccc34)CC2)c1,-9.78,6.995
O=C(NC1CCC(CCN2CCN(c3n[nH]c4ccccc34)CC2)CC1)c1ccccc1,-11.52,6.228
O=C1c2ccccc2S(=O)(=O)N1CCCCCN1CCN(c2ccccc2)CC1,-10.43,6.579
O=C(NC1CCN(CCN2CCN(c3ccc(Cl)cc3)CC2)CC1)C1CCCCC1,-10.11,6.861
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,-6.32,3.383
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,-10.7,5.372
COc1ccccc1N1CCN(CCCCNC(=O)c2ccc(-c3ccc(N)cc3)cc2)CC1,-10.88,9.395
CS(=O)(=O)Nc1cc(OCCNCc2ccco2)ccc1Cl,-7.9,5.65
COc1cccc(N2CCN(CCN3CCCCCC3)C2=O)c1,-8.72,4.337
NC1CCc2ccc(O)cc2C1,-8.1,1.949
CCCN1CCC(c2c[nH]c3cc(F)ccc23)CC1,-9.3,3.123
CC(C)c1ccccc1N1CCN(CCCCNC(=O)NCc2ccccc2)CC1,-9.39,8.867
O=c1ccc2ccc(OCCCCN3CCN(c4cccc5[nH]ccc45)CC3)cc2[nH]1,-10.26,7.606
O=C1CCc2ccc(OCCCCN3CCN(c4ccccc4Cl)CC3)cc2N1,-9.95,7.037
Cc1cc2c(N3CCN(C)CC3)nc3ccccc3c2s1,-6.9,3.063
CN(C)C(=O)NC1CCC(CCN2CCN(c3cccc4c3OCO4)CC2)CC1,-9.59,5.831
CCN(CC)CCNC(=O)c1cc(Cl)c(Cl)cc1OC,-7.1,4.577
O=C(NC1CCC(CCOc2ccccc2-c2ccccc2)C1)c1ccc2ccccc2c1,-11.23,7.558
CN(C)C(=O)NC1CCC(CCN2CCN(c3nsc4ccccc34)CC2)CC1,-10.16,5.482
CCCN(CCc1ccccc1)C1CCc2c(O)cccc2C1,-9.3,4.596
Nc1nc2cc3c(cc2s1)CCN(Cc1ccc(F)cc1)CC3,-10.62,3.444
CCCN(Cc1ccccc1)C1CCc2c(cccc2OC)C1,-8.46,4.231
O=S(=O)(NCCN1CC=C(c2c[nH]c3ccc(Cl)cc23)CC1)c1ccc(F)cc1,-10.27,6.843
Cc1cccc(S(=O)(=O)NCCCN2CC=C(c3c[nH]c4ccc(Cl)cc34)CC2)c1,-10.49,7.567
NC1CCc2ccc(O)cc2C1,-8.06,1.993
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,-9.84,6.006
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,-9.93,5.984
Cc1cc2c(N3CCN(C)CC3)nc3ccccc3c2s1,-6.9,2.999
CCCN(CCC)C1CCn2cccc2C1,-7.45,3.0
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,-10.29,5.819
O=C1c2ccccc2C(=O)N1CCCCCN1CCCC(c2c[nH]c3ccc(F)cc23)CC1,-11.39,8.179
COCc1ccccc1N1CCN(CCCCNC(=O)c2ccc(-n3cccn3)nc2)CC1,-9.06,9.989
O=C(NCC1CCN(Cc2ccccc2)CC1)NC1CCC(c2nsc3ccccc23)CC1,-11.92,7.679
COc1ccccc1N1CCN(CCCCNC(=O)c2cc3ccccc3s2)CC1,-9.49,7.902
O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,-10.32,6.783
COc1ccccc1N1CCN(CCCCNC(=O)c2cc3ccccc3s2)CC1,-9.8,7.872
O=C1OCc2ccc(OCCCN3CCN(c4cccc5cc(F)ccc45)CC3)c(F)c21,-10.43,7.253
Cc1cc2c(cc1OCCCN1CCN(c3cccc4cccc(F)c34)CC1)C(=O)CC2,-10.78,7.032
COc1ccc2ccc(CCCCCCc3cc4ccc(Cl)cc4[nH]3)cc2c1,-10.1,6.542
COc1ccccc1N1CCN(CCCCNC(=O)c2ccc(-c3ccccc3)cc2)CC1,-10.54,8.906
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,-10.11,6.062
CC(=O)Nc1ccc(CN2CC3CNc4ccc(C#N)cc4C3C2)cc1,-9.62,4.405
O=C1NCc2ccc(OCCCN3CCN(c4ccnc5cccc(F)c45)CC3)c(O)c21,-10.11,7.865
Nc1nc2cc3c(cc2o1)CNN(Cc1cccc(F)c1)CC3,-10.71,4.026
Cc1c(OCCCN2CCN(c3ccnc4cccc(F)c34)CC2)ccc2c1C(=O)NC2,-10.08,7.412
C(=Cc1c[nH]c2ccccc12)CN1CCN(c2cccc3c2CCCC3)CC1,-10.8,5.526
O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(Cl)cc1,-9.58,7.017
c1ccc(-c2cccc(N3CCN(Nc4cccc5c4OCCO5)CC3)c2)cc1,-10.67,5.278
CCOc1ccccc1OCCCC(C)Cc1ccc(OC)c(S(C)(=O)=O)c1,-8.29,7.954
N#Cc1ccc2c(c1)C1CC(Cc3cccnc3)CC1CC2,-9.63,3.186
CCN1CCCC1CNC(=O)c1c(O)c(Cl)cc(O)c1OC,-7.76,4.887
CC(C)(C)OC(=O)NC1CCN(CCN2CCC(c3noc4ccccc34)CC2)CC1,-10.93,7.426
O=C(CCCN1CCN(c2cccc(Cl)c2Cl)CC1)Nc1ccc2nscc2c1,-9.83,6.896
Oc1nc2c(OCCCCc3ccccc3)cc(Cl)nc2[nH]1,-8.55,5.114
COc1ccccc1N1CCN(CCCCN2CCc3ccccc3C2=O)CC1,-9.84,6.454
COc1ccc(N2CCN(CCCNC(=O)CCCc3cn(-c4cccc(Cl)c4Cl)nn3)CC2)cc1,-8.97,13.068
O=S(=O)(NCCCN1CC=C(c2c[nH]c3ccc(F)cc23)CC1)c1ccc(F)cc1,-10.23,8.122
O=C(NC1CCN(CCC2CCC(c3ccccc3)CC2)CC1)c1ccc(-c2noc3ccccc23)o1,-12.42,8.987
CON=C(CCN1CCN(c2ccccn2)CC1)c1ccc(Cl)c(Cl)c1,-8.92,5.916
CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)OC)ccc1OC,-7.99,5.557
Oc1nc2cccc(N3CCN(Cc4cccc(-c5ccccc5)c4)CC3)c2o1,-11.68,5.543
O=C1CCc2ccc(OCCCCN3CCN(c4ccc(O)c5ncccc45)CC3)cc2N1,-10.57,8.459
CC1CC(=O)C2=C1C=C(F)C=C(CCN1CCN(c3n[nH]c4ccccc34)CC1)N2,-10.8,5.292
Cc1ccccc1OCCNCCNOc1ccccc1,-8.04,5.59
CCC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(C3CC(C)CN3)cc2)cc1,-9.94,5.85
OC1(c2ccc(Cl)cc2)CCN(CCCOc2ccc(F)cc2)CC1,-9.71,5.442
COc1ccccc1N1CCN(CCCCNC(=O)c2cc3ccccc3s2)CC1,-9.67,7.732
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,-10.21,5.813
CC(=O)NC1CCN(CCN2CCC(c3coc4ccccc34)CC2)CC1,-10.69,5.213
O=C(NC(CS)N1CCN(c2cccc(Cl)c2Cl)CC1)c1nc2ccccc2o1,-8.75,6.101
Cc1cc2c(N3CCN(C)CC3)nc3ccccc3c2s1,-6.7,2.855
C=CCN1CCC2c3c(O)cccc3CCC21,-8.15,2.34
Cc1cccc(S(=O)(=O)NCCCN2CC=C(c3c[nH]c4ccc(F)cc34)CC2)c1,-10.85,7.593
COc1ccccc1N1CCN(CCCCc2cn(-c3cccc4cccnc34)nn2)CC1,-9.99,8.447
CON=C(CCN1CCN(c2ccccn2)CC1)c1cccc(C)c1,-8.93,5.237
CCCCN1CCN(c2cccc(Cl)c2Cl)CC1,-8.02,3.274
O=C(NC1CCN(CCN2CCN(c3ccccc3)CC2)CC1)C1CCCCC1,-10.16,6.038
CON=C(CCN1CCN(c2ccccn2)CC1)c1ccc(Cl)c(Cl)c1,-8.89,5.949
O=C(CCCCN1CCC2(CC1)C(=O)NSN2c1ccccn1)c1nc2ccccc2s1,-10.21,8.489
Cc1cc(C)c(-c2cccc(C(=O)NCCCN3CCN(c4ccccc4)CC(=O)C3)c2)o1,-10.68,8.889
Cc1ccc(CN2CCN(CC(=O)N3c4ccccc4CC3C)CC2)cc1,-10.51,4.639
CC1CCC(N2Cc3ccccc3Sc3ccc(OCC(=O)N(C)C)cc32)CC1,-8.77,5.253
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,-9.98,7.281
CC(=O)Nc1ccc(OCCCN2CCN(c3ncn4cc(F)ccc34)CC2)cc1,-9.98,7.454
O=C(OCCN1CCC(O)(c2ccc(F)cc2)CC1)c1ccc(Cl)cc1F,-10.32,5.721
COc1ccccc1N1CCN(CCCCNC(=O)c2ccc(-n3ccnc3)cc2)CC1,-9.47,8.963
O=c1[nH]c2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2o1,-9.31,7.175
COc1ccccc1N1CCN(CCCNC(=O)C=Cc2ccc(F)cc2)CC1,-9.67,7.55
O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,-10.84,6.44
CC(C)c1ccccc1OCCN1CCC(NS(=O)(=O)c2ccc(Cl)s2)C1,-9.36,6.992
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,-9.92,7.374
