smiles,score,time
O=C(NC1CCC(CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1)c1cccs1,-10.17,6.774
O=C(NC1CCC(CCN2CCC(c3noc4ccccc34)CC2)CC1)C1CCC1,-11.36,6.337
Clc1ccc2[nH]ccc2c1C1CCC(Cc2ccccc2)CC1,-10.14,3.617
O=C1NCc2ccc(OCCCCN3CCN(c4cccc5ccccc45)CC3)cc21,-10.24,7.361
Cc1ccc(CN2CCC(NC(=O)c3cccc(-c4cccs4)c3)C2)cc1,-10.87,5.564
C=CCN1CCCC1CNC(=O)c1cc(Br)ccc1OC,-8.45,4.446
NC(=O)NC1(c2ccc(Cl)cc2)CCN(Cc2c[nH]c3ccccc23)CC1,-9.79,5.682
O=C(NC1CCC(CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1cccs1,-10.65,6.132
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(Cl)cc1,-10.07,5.457
CCCN(CCC)C1CCc2sccc2C1,-7.09,2.794
CCN1CCCC1CNC(=O)c1c(O)cc(C)c(OC)c1OC,-8.24,5.293
Cc1ccc(C)c(C(=O)NCCCCN2CCN(c3cc(C)ccc3C)CC2)c1,-10.57,7.06
CC(C)c1ccccc1OCCN1CCC(N(C)S(=O)(=O)c2ccc(F)cc2)C1,-9.96,7.326
C#CCNC(CC)CCCCCCCCCCCCCCCCCCC(=O)c1ccc(-c2ccccc2)cc1,-8.03,28.007
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(Cl)cc1,-10.07,5.688
COc1cccc(C(=O)NCCCCN2CCN(c3cccc(C)c3C)CC2)c1,-9.18,7.675
O=C1c2ccccc2C(=O)N1CCCCN1CCCC(c2c[nH]c3ccc(F)cc23)CC1,-11.05,7.574
O=C1CCc2ccc(OCCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)nc2N1,-9.67,8.556
N#Cc1ccccc1N1CCN(CCCCOc2ccc3c(c2)NC(=O)CO3)CC1,-9.35,7.778
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,-10.21,7.475
CN(C)c1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc32)CC1,-9.83,9.889
NC(=O)C1CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCSC1,-7.48,3.994
COc1ccccc1N1CCN(CCCCCCCC(=O)OC(C)(C)C)CC1,-8.12,8.488
CCNNC(Cc1ccc(OC)c(S(N)(=O)=O)c1)Oc1ccccc1OCC,-7.82,9.551
COCCc1ccc(CCCCN2CCC(CC(=O)Nc3ccccc3-c3ccccc3)CC2)cc1,-9.56,13.084
O=C1NCc2ccc(OCCCCN3CCN(c4cccc5c4CCCC5)CC3)cc21,-9.9,7.522
NC1CCc2ccc(O)cc2C1,-8.16,2.016
COc1ccccc1N1CCN(CCN2C(=O)CC3(CCCCC3)C2=O)CC1,-10.09,5.333
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccccc1,-10.03,5.196
CC1Cc2ccccc2N1C(=O)CN1CCC(Cc2ccc(F)cc2)CC1,-10.53,4.818
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,-9.92,7.24
COc1ccccc1N1CCN(CCCCNC(=O)c2ccc(CCF)cc2)CC1,-9.04,8.674
COc1ccccc1N1CCN(CCCn2nnc(-c3ccccc3O)n2)CC1,-9.61,7.153
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(Cl)cc1,-10.27,5.447
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,-7.46,2.576
CCCN1CCCC(c2cccc(O)c2)C1,-8.32,2.881
