smiles,score,time
c1ccc(N2CCN(CCC3CCC(Nc4ncccn4)CC3)CC2)cc1,-10.03,5.302
Cc1ccc(N2CCN(CCC3CCC(NC(=O)c4cccs4)CC3)CC2)cc1,-10.46,7.675
CN1CCN(Cc2ccc(OCCCN3CCC(c4noc5cc(F)ccc45)CC3)cc2)CC1,-10.93,12.111
Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3cccc(Cl)c3)C2)n1C,-9.34,10.439
Oc1nc(-c2ccccc2)cn1C1CCN(Cc2ccccc2)CC1,-10.48,7.239
ON=Cc1cnn2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc12,-9.21,11.536
O=C1COc2ccccc2N1CCCN1CCC(n2c(=O)[nH]c3ccc(F)cc32)CC1,-10.83,8.5
O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,-9.54,8.914
Oc1ccc(C2=CCN(CC3CCC=C(c4ccccc4)C3)CC2)cc1,-10.11,6.449
COc1ccccc1N1CCN(CCCCNC(=O)C=Cc2ccc(OCc3ccccc3)cc2)CC1,-9.9,21.791
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,-9.3,6.195
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,-10.52,7.206
O=C1NCc2ccc(OCCCCN3CCN(c4cccc5c4OCCC5)CC3)cc21,-9.91,11.442
CC1Oc2c(cccc2N2CCN(CCCc3c[nH]c4ccc(F)cc34)CC2)NC1=O,-10.42,9.456
CC1CN(CCC2CCC(NC(=O)C3CCCO3)CC2)CCc2ccc(Cl)cc21,-10.41,7.477
O=C1NCc2ccc(OCCCCN3CCN(c4cccc5ccc(F)cc45)CC3)c(F)c21,-10.52,12.354
Nc1ccccc1C(=O)CCCN1CCC2C(C1)c1cccc3c1N2CCCS3,-10.29,7.144
O=S(=O)(NCCCN1CC=C(c2c[nH]c3ccc(Cl)cc23)CC1)c1cccc(Cl)c1,-9.83,11.944
CC(C)Oc1ccccc1N1CCN(C2CCC(NC(=O)Nc3cc(F)ccc3F)CC2)CC1,-10.72,11.681
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,-6.79,2.627
CS(=O)(=O)c1ccc(C(=O)NC2CCC(CCN3CCC(c4coc5ccccc45)CC3)CC2)s1,-11.24,13.396
COc1ccccc1N1CCN(CCCCNC(=O)C=Cc2ccc(C=CC(=O)NCCCCN3CCN(c4ccccc4OC)CC3)cc2)CC1,-10.1,64.124
FC(F)(F)c1cccc(N2CCN(CCCCNc3ccccn3)CC2)c1,-9.28,9.802
O=S(=O)(CC(F)(F)F)NC1CCC(CCN2CCN(c3cccc4c3OCO4)CC2)CC1,-10.96,12.997
