smiles,score,time
Nc2ccc(Nc1ccccn1)c(N)c2,-8.15,2.541
CC(=O)N2cccc(SCC(=O)NCCc1ccccc1)n2F,-9.13,4.84
NC(=S)NCc3ccc2cC(C(=O)c1cccc(Cl)c1)ccc23,-9.65,4.762
CSc4ccc(C3N(c1ccc(CC)cc1)c2ccccc2N(C)NN3)cc4,-7.87,5.733
Cc2cccc(Nc1nccc(F)n1)n2,-7.53,1.994
Nc2ccnc(Nc1ncccc1)c2F,-8.18,2.567
NCC3CC(C(=O)c2ccc(Nc1ccccn1)cc2)CC3,-9.35,4.439
Cc2ccc(F)c(-c1nccnc1)c2F,-7.69,2.162
NCCSC(=O)c2ccc(CCc1cccc(Br)c1)cc2,-8.64,4.765
Cc2ccc(CNC(=O)Nc1ccccc1C)cc2,-9.31,3.136
NC(=S)c3ccc(NCCc1cccc2ccccc12)cc3,-9.66,4.049
Nc2ccc(CSc1ccccc1O)cc2,-8.62,2.987
NCc2ccc(Sc1ncccn1)cc2,-7.32,2.806
CC3=C(c1ccc(O)cc1)c2ccccc2c3=O,-8.41,2.636
NS(=O)c2ccc(Nc1ccccc1)cc2,-8.34,2.753
CS(=O)(=O)c1ccccc1,-6.24,1.748
NSc2ccc(Sc1nnc(Br)s1)o2,-6.64,2.801
OCC(Sc1ccccc1)Cc2ccccc2,-8.4,3.321
Nc2ccc(CC(=O)c1ccc(O)cc1)cc2,-9.07,3.268
CC(C)c2ccc(CNC(=O)c1ccc(Cl)cc1N)cc2,-9.29,3.737
NCC(Nc1nccs1)c2ccccc2N,-7.48,3.335
O=C(O)Cc1cccc(c1)C(=O)c2ccccc2,-9.25,3.213
S=C2Nccc1ccccc12,-6.91,1.7
Cc2c(C)nnc(Sc1ccccc1)c2,-8.31,2.251
C3C(C)c2ccc(NC(=O)c1ccc(Cl)cc1)cc2C3=O,-9.68,3.209
O=c2sc(Nc1cccc(F)c1)nc(O)n2,-7.74,2.783
OCCNc2nc(-c1ccccc1Cl)ns2,-8.11,3.075
Cc1ncc(Cl)cc1S(=O)=O,-6.02,2.166
NCCCCc2ccc(CC(=O)c1cccc(Cl)c1)c(Cl)c2,-9.06,4.815
CC(C)Oc3cccc(C2CCCN(c1ccccc1)C2=O)c3,-10.05,4.077
NS(=O)(=O)c1ccccc1,-6.39,1.863
Nc2ccc(Sc1ccc(Cl)cc1)c(Cl)c2,-7.65,2.717
N(C)(c1ccncc1)c2ccc(Cl)cc2Cl,-7.75,2.383
CSc2ccc(-c1ccccc1C=O)cc2,-8.31,2.358
NC(CCc1ccccc1Cl)c2ccccc2Cl,-9.13,3.415
CCc2ccnc(Sc1ccncc1)c2,-7.43,2.351
CC(=O)Nc3ccc(C2CCC(c1ccc(=O)[nH]n1)C2)cc3,-10.46,3.645
Nc2ccc(Nc1ccc(O)cc1)cc2,-8.08,2.178
NC(=O)Nc2ccc(CCS(=O)(=O)c1cccs1)cc2,-8.83,4.049
NC(=S)c1ccccc1NCc2coc3ccccc23,-9.15,3.897
CC(C)c4ccc(N3CCN(c2ccc1ccccc1c2)CC3)cc4,-10.73,3.559
CS(=O)(=O)NCc2ccc(NCc1ccccn1)cc2,-8.44,4.149
Cc2ccc(C(=O)C(C)c1ccccn1)nc2Br,-8.91,3.074
NC(Cc2ccc(Cc1ccccc1C)cc2)C(=O)O,-9.54,3.763
CCc1ccccc1Nc2cccc(F)c2,-8.55,2.699
O=C(O)CC3CCC(c2cc(-c1ccccc1)n[nH]2)C3=S,-8.7,4.263
