smiles,score,time
C=Cc3ccc(NC(=O)N2CCN(c1ncccn1)C2)c(Cl)c3,-9.56,3.586
NC(=S)c3ccc(NC(=O)CCc2cc(-c1cccs1)n[nH]2)s3,-9.09,5.274
Cc3cc(C(O)C(C)C(C)c1ccc(Cl)cc1)c2ccccc2c3,-9.78,4.235
CC(=O)c3ccc(N2C(=O)C(c1ccccc1Cl)CC2)cc3,-9.86,3.599
CC(=O)N3ccc(N2CCCC(C)(c1ccc(N)cc1)C2)cc3=O,-9.76,3.897
Cc3ccc(C(=O)Nc2ccc(N1NCC(C)CC1)cc2)cc3,-10.5,3.98
CCCOc3ccc(N2CCS(c1ncccn1)CC2)cc3,-8.77,4.477
NS(=O)(=O)Cc2ccc(CCc1ccc(C(C)=O)o1)cc2,-8.76,4.444
CC(=O)NN=Cc2ccc(S(=O)(=O)c1ccc(Cl)cc1)cc2,-9.28,4.339
CCCc1ccccc1C4(C)C(C(=O)c3ccc(-c2cn[nH]n2)cc3)CC4,-10.1,5.992
NS(=O)(=O)c3cc(Nc1ncccc1NCc2cccnc2)ncc3Br,-8.54,5.088
NC(=O)c4ccc(-c2ccc(N1CCCC1=O)c3ccccc23)cc4,-10.99,4.181
O=CNc3ccc(Nc2nc(-c1cccnn1)no2)c(Cl)c3,-9.02,3.809
NS(=O)(=O)c2ccc(OCC(=O)c1cccc(Cl)c1)cc2,-9.3,4.154
O=C(O)c3ccc(CCNC(=O)c1cccc2ccccc12)cc3,-10.0,4.5
NCC(CC(=O)Cc1ccccc1S)c2ccccc2S,-8.58,4.797
N=C(N)c2ccc(NCCS(=O)(=O)c1ccc(Cl)cc1)cc2,-8.85,4.829
CC(C)c2ccc(OSS(=O)(=O)c1ccc(Cl)cc1)cc2,-8.69,3.655
CC(C)c3ccc(NCC2NS(=O)(=O)c1ccccc12)cc3,-10.2,4.031
N#CCc4ccc(N3CCC(c2cc1ccccc1[nH]2)CC3)cc4,-9.84,3.992
N4=C(S)cc(c3cCCC(c1cccc2ccccc12)C3)cc4,-9.6,3.509
N=Cc4ccc(N3CCC(Nc2cc(-c1cccc(F)c1)nnn2)C3)nc4,-10.78,5.759
NCCc4cccc(C3CCN(c1cccc2ccccc12)CC3)c4,-10.53,4.377
NCC(CC(=O)c1ccccc1C(=O)O)c2ccccc2F,-9.59,5.026
CC(C)Cc3ccc(OC2C(=O)NN(c1ccccn1)C2)cc3,-9.52,4.605
CC(C)(C)c2cc(NC(=S)c1cccc(Br)c1)ncn2,-8.13,3.686
CCCc3ccc(N2CCC(C(=O)c1ccccn1)CC2)nc3,-9.48,4.086
N#CCCc2ccc(OCCSS(=O)(=O)c1cccnc1)cc2,-7.96,5.486
C(C)Cc2ccc(NCS(=O)(=O)c1ccc(Cl)cc1)cc2,-8.82,4.41
NC(c3ccc(C(=O)N2Cc1ccccc1C2)cc3)c4ccccc4,-11.5,4.084
CC=Cc2ccc(S(=O)(=O)NCCc1ccccc1)cc2,-9.02,4.16
OC3cc2c(Br)c(NNc1ccccc1)ccc2n3,-8.96,3.319
CC(=O)c2ccc(OS(=O)(=O)c1ccc(Br)cc1)cc2,-9.04,3.699
NC(=O)c2ccc(NCCCC(=O)Nc1cccc(F)c1)cc2,-9.21,5.198
NC3CS(O)c2ccc(OC(=O)Nc1ccccc1)cc23,-9.91,4.054
Cc2cc(NC(=O)c1ccccn1)ncc2I,-8.44,2.644
CCNCCNc2ccc(S(=O)(=O)c1ccccc1N)cc2,-8.25,5.085
O=Cc3ccc(C1C(=O)CNC1c2ccc(S)s2)cc3,-6.96,3.651
Cc2ccc(C(=O)NCc1ccc(S(C)(=O)=O)cc1)cc2,-9.51,3.626
Nc3ccc(C2CCN(S(=O)(=O)c1ccc(F)cc1)C2)cc3,-9.43,4.209
CCCc4ccc(CCN3C(c1ccccc1)c2ccccc2C3=O)cc4,-9.97,5.384
NC(=O)c2ccc(OCC(=O)c1cccc(Br)c1)cc2,-8.72,3.861
CC(C)c3ccc(N2CCN(C(=O)c1ccc(Cl)cc1)CC2)cc3,-10.42,3.65
