smiles,score,time
O=C(COc1ccc(-c2ccco2)cc1)N1CCc2ccccc21,-9.67,4.028
CSc1ccc(-c2cssc(NC(=O)c3ccc(F)c(Cl)c3)c2)cc1Cl,-9.19,5.014
CCc1ccc(C2Oc3ccc(OCc4ccccc4)cc3C2=O)cc1OC,-10.69,5.101
Cc1ccc(C2CCC(Cc3ccc(S(=O)(=O)c4ccc5c(c4)CCC5)cc3)CC2)cc1,-12.21,5.898
Cc1ccc(N=C(N)Nc2cc3c(o2)CC(c2ccccc2F)CC3)cc1,-10.5,5.299
COc1cc(-c2ccc(NS(=O)(=O)c3ccc(C)c(C)c3)cc2)ccc1O,-10.66,7.892
Cc1csc(CSCc2cc(C)c(O)s2)s1C,-6.88,4.69
CSc1ccc(-c2cc(Cl)ccc2O)cc1CC(=O)NS(=O)=O,-9.76,6.995
OC(c1ccc2c(c1)OCO2)C1Cc2ccccc2C1c1c[nH]c2ccccc12,-10.89,7.43
Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)NN3CCc4ccc(O)cc4C3=O)cc2)cc1,-12.31,8.965
C=CC1CCN(C(=O)c2ccccc2Cc2ccccc2C)CC1,-10.11,5.116
CSc1ccc(C(=O)N2c3ccc(C)cc3Cc3ccc(C)cc32)cc1,-8.22,4.627
CC(C)Oc1ccc(C(=O)Nc2nc3ccccc3n2CC(=O)NC(C)CCCCCC)cc1,-8.56,15.433
CCc1ccc(S(=O)(=O)NCc2ccc(C(=O)Nc3ccc4c(c3)CCC4)cc2)cc1,-11.18,9.2
CSc1ccc(C(S)NNCc2cccs2)cc1F,-7.6,5.503
CC(=NNC1cccc(Br)cc1)C(=O)CCc1cccs1,-8.56,7.797
COC(c1ccccc1-c1c[nH]c2ccccc12)CNCCCCC,-8.14,9.528
CN(C)c1ccc(CN2CCN(C(=O)C3Cc4cccc(C(F)(F)F)c4CCC3C)CC2)cc1,-10.1,9.091
CNC(OO)c1ccc(CC2CCS2S(=O)(=O)c3ccc(O)cc3)cc1,-9.01,10.009
CN(C)C1cccc(CCCC(=O)CCc2ccc3c(c2)CCCC3)cc1,-9.92,8.938
CSc1ccc(Cl)cc1C(=O)N1CCC2(CCC1)CC2,-6.97,3.504
N=C(NN=CN)Nc1cc(F)nc(-c2ccc(F)c(F)c2)n1,-9.86,6.089
CSc1ccc(NC(=O)c2cc(Cl)cc(Cl)c2Cl)cc1,-8.24,4.852
Cc1ccc(C(=O)NN2CCc3cccc(Cc4ccc(O)cc4)c3)C2cc1,-11.3,7.539
Cc1ccccc1OC(Cc1ccco1)c1ccc2c(c1)OOO2,-8.76,5.55
Nc1cc(CCc2nc(CN3CCC(c4ccc(Br)s4)CC3)cs2)ccc1Br,-9.7,9.059
CSc1ccccc1N1CCC(C(=O)c2ccc3c(c2)OCO3)CC1,-9.79,5.785
CC(C)CCOCc1coc(-c2cccc(Br)c2)n1,-8.21,5.578
CCc1ccc(C=NNC(=O)c2ccc(CN3C(=O)CCC3C(C)=O)cc2C)cc1,-9.58,9.889
COC(=O)C(c1ccccc1Cc1ccccc1)NNCCCC,-7.49,9.569
O=C(Nc1ccnc(-c2csc(C)c2)c1)c1ccc2c(c1)CCCC2,-10.83,5.412
Oc1ccc(CCC(=O)C(NC(=O)c2cccc(O)c2)c2ccco2)cc1C,-9.79,9.607
OCC(C1CCC(CC(=O)c2ccc(F)cc2)CC1)c1c(F)cccc1F,-10.56,8.439
CCc1ccc(C2C(=O)c3cc(S(F)(F)F)ccc32)cc1,-8.89,4.631
CCC(=O)NC(=N)Nc1cc(-c2cccc(OC)c2OC)ccc1C,-8.9,6.306
COc1ccc(C(=O)C=C2C(=O)C(=O)c3ccc(Cl)cc3C2=O)cc1,-9.03,5.694
CCC1c2ccccc2CC1C(OO)OCc1ccc2c(c1)OCC2=O,-9.57,6.841
Cc1ccc(OCC(=O)COc2ncc(-c3ccc4[nH]cc(O)cc34)cc2)cc1C,-10.86,9.256
O=C(O)C1CCCN1S(=O)(=O)Cc1ccc2c(c1)OCO2,-9.06,6.042
COc1ccc(NC(SS)NCc2ccccc2)cc1,-7.54,5.638
CSc1ccc(C(=O)N2CCN(c3ccc(C)cc3NC(=O)c3cc4ccccc4[nH]3)CC2)cc1,-9.59,11.965
Cc1ccc(-c2n[nH]c(SCC(=O)Nc3ccc4c(c3)OCO4)n2)cc1,-10.68,6.31
OC(CCC1ccc2ccccc12)CCCC(=O)c1ccco1,-9.63,6.969
CCc1nnc(C)cc1-c1ccc2ccc(NC(=O)NCCCCC(C)C)cc2c1,-10.01,11.147
O=Cc1ccccc1-c1nc2ccccc2n1C(=O)NN1Cc2ccc(Cl)cc2C1,-9.44,8.211
CCCc1ccc(N2CCN(c3nc4ccccc4c(=C)c3=S)CC2)c(OC)c1,-9.24,6.612
CNc1occc1CCc1ccc(Cl)cc1-c1ccccc1,-8.11,5.668
N=C(N)c1ccc2c(c1)C(=O)C(=CNc3ccccc3Br)C(=O)CC2,-9.56,6.308
Cc1cc(-c2ccc(S(=O)(=O)NC(=O)Nc3cccs3)cc2)ccc1Br,-10.13,6.366
Cc1ccc2ccc(O)cc2c1C1CCCC1c1ccc(Br)cc1,-8.4,5.587
Cc1ccc(C(=O)NN(C)SS(=O)(=O)c2cccs2)s1,-8.0,6.414
COc1ccc2[nH]c(=O)c(CCCOc3ccc4c(c3)CCO4)c(O)c2c1,-9.64,6.995
