smiles,score,time
O=c1nc(NO)ccn1C1CCC(CO)O1,-8.17,2.442
CCN(CC)CCC(=O)Nc1ccc(O)c2c1C(=O)c1c(O)ccc(O)c1C2=O,-8.9,5.338
CC(C)Cc1ccc(C(C)C(=O)OCc2ccccc2)cc1,-8.66,3.986
O=C(O)c1cn(-c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2c1=O,-9.43,4.579
CC(C)c1nc2cc(Cl)c(Cl)cc2[nH]1,-7.08,1.579
Nc1nccnc1C(=O)OCC(=O)N1CCc2[nH]c3ccccc3c2C1,-9.46,4.097
CCC(SCC(NC(=O)C(C)CS)C(=O)O)c1ccc(C(C)C)cc1,-7.81,6.724
Cc1nnc2sc(C(=O)NCc3ccc(S(=O)(=O)C(F)(F)F)cc3)c(N)c2c1C,-9.55,5.257
COc1ccccc1C(=Cc1coc2nc(=N)[nH]c(N)c12)CC(C)C,-8.93,4.903
CC(C)CC(=O)Nc1ccc(NC(=O)c2ccco2)c(O)c1,-8.7,4.088
Cn1c(-c2ccc(NC(=O)CN3CCSCC3)cc2)nc2cc(C(F)(F)F)ccc21,-9.51,5.729
CCn1ccc2ccc3c(c4c(c5c6ccccc6n(CCCO)c35)C(=O)NC4=O)c21,-9.16,5.271
CCN(CC)CCCNC(=O)c1ccc2c(c1O)C(=O)c1ccccc1C2=O,-9.08,5.445
CSc1nnc(SC(C)C(=O)N(C)C2(C#N)CCC(C)CC2)s1,-7.55,4.285
CSc1ccccc1NC(=O)c1cccnc1,-7.44,2.516
Cc1nc(O)nc2ccc(N3CCN(C)CC3)cc12,-7.87,2.188
CCN(CC)C1CN(C(=O)c2ccc(C#N)cc2)C2CCCOC12,-8.27,4.003
Oc1ccc2c(c1)CC(NCc1ccccc1)CC2,-8.35,2.72
CC(C)Cc1ccc(C(C)C(=O)OCCCc2cccnc2)cc1,-8.51,5.47
O=C1C2CC=CCC2C(=O)N1CC(=O)N1CCCc2cc(OC(F)(F)F)ccc21,-10.25,4.65
COc1cc(F)ccc1-c1csc(C(O)(c2ccccc2)C(F)(F)F)n1,-8.67,4.974
COc1ncc(C2CC2)nc1C(=O)Nc1ccc2nc(-c3ccccc3)nn2c1,-9.05,5.323
CCC(C)(NC(=O)Nc1ccc(Cl)cc1)C(=O)O,-7.95,2.886
Cc1nnc(N2CCN(Cc3ccccc3)CC2)nc1O,-8.92,2.432
CCSc1ccc(NC(=O)C(=O)NC2CCCCCCC2)cn1,-8.26,3.989
CCn1c(=O)c2cn[nH]c2c2ccc(-c3ccnc(N4CCN(C)CC4)c3)cc21,-9.72,4.54
N#Cc1ccc(-c2cc3c(o2)C(=O)Nc2ccc(N4CCNCC4)cc2C3)cc1,-9.74,4.22
COc1ccc2nccc(C(O)CN3CCC(NCc4ccc5c(n4)NCCC5)CC3)c2c1,-9.4,8.656
CCCNC(=O)N1CCC(c2cc(C)nn2-c2ccc(S(C)(=O)=O)cc2)CC1,-8.71,5.308
CCCCN(CCCC)CCOCC=Cc1ccccc1,-6.81,5.562
COc1ccc(N=NC(=O)NC(CCCCN)C(=O)O)cc1,-7.83,5.395
CCOC(=O)NN=C(C)C=Cc1ccco1,-6.34,2.768
NS(=O)(=O)c1cc(S(N)(=O)=O)c(NC(=O)CNCC(=O)O)c(Cl)c1Cl,-8.05,6.104
CC(=O)NCc1nc2ccccc2n1CC(=O)NC(C)(C)C,-7.69,3.99
C=C1C(=O)OC2C(O)C(C)C3=CC(=O)C(C)(O3)C(O)C(OC(=O)CC(C)C)C12,-8.15,3.948
CCn1c(CSC(C)C(C)O)nc2cc(S(=O)(=O)N(C)C)ccc21,-7.65,4.691
O=C1CC(N2CCc3ccccc32)C(=O)N1c1ccccc1,-8.56,3.092
CC(C)(CO)CCCNC(=O)c1c(O)cccc1O,-7.83,3.525
COc1ccc(-c2nn(-c3nc4ccc(S(N)(=O)=O)cc4s3)cc2C=NO)cc1,-10.19,4.779
CC(C)(CCCOc1cccc(OCCCC(C)(C)C(=O)O)c1)C(=O)O,-8.17,7.403
CCOC(=O)NCc1ccc(S(=O)(=O)Nc2ccccc2C)cc1,-8.58,4.954
COc1cccc2c1C(=O)c1c(OC)cc(C=O)cc1C2=O,-8.35,3.224
CN1CCc2cc(Cl)c(O)cc2C2c3cccc(C(=O)O)c3CCC21,-9.28,2.498
CC(=CC(=O)N(C)C(C)c1cc(F)ccc1F)C(C)(C)C,-7.86,3.162
CC(C)(C)NC(=O)COc1ccc(Cl)cc1C(N)=O,-7.23,3.516
Cc1ccc2nc(NC(=O)C(=O)C3C(=O)NC(=S)NC3=O)sc2c1,-9.32,3.366
CCCCCCCCc1ccc(CCC(N)(CO)CCO)cc1,-7.89,7.004
Cc1ccc(O)c(C(=O)c2cnc3c(c2)c(C)nn3-c2ccccc2)c1,-9.86,3.943
CNC(=O)Oc1cccc(C(C)N(C)C)c1,-7.12,2.531
O=C(NCC(=O)N1CCN(c2ncccn2)CC1)c1ccc(F)cc1,-9.26,3.579
Cc1nc(C(=O)C(C#N)c2nc3ccccc3o2)cs1,-8.51,3.138
COc1cc(CN2CCN(Cc3cn(C)c4ccccc34)CC2CCO)cc(OC)c1,-8.35,7.956
CN1c2ccccc2C(=O)NN(c2ccccc2)C1c1ccc(Br)cc1,-8.64,4.024
CCCCCC(N)P(=O)(O)Oc1ccccc1,-6.87,3.714
COc1ccc2c(c1)NP(=S)(c1ccc(Oc3ccccc3)cc1)O2,-9.15,3.889
N#Cc1nccn1CCC1CCCC1(C#N)NC1CC1,-6.87,3.881
O=C1c2cc(C#Cc3ccccc3)ccc2OCCN1Cc1ncccn1,-9.8,4.087
C#CC[N+](C)(C)C(C#Cc1ccccc1)CC=C,-6.66,3.065
CN(CC(=O)Nc1ccccc1Cl)CC(O)Cn1c(=O)c2ccccc2n(C)c1=O,-9.38,7.308
CCCCN(CCCC)S(=O)(=O)c1cc(Br)cc2c1N(C(C)=O)CC2,-7.13,5.317
COC(=O)c1cc(NS(=O)(=O)c2ccc(OC)c(OC)c2)ccc1Cl,-8.24,5.135
CCc1nc2n(n1)CC(NCc1ncc(-c3ccccc3)o1)CC2,-9.0,4.131
C=CCNc1nc(N)c(C(=O)c2ccc(C)cc2)s1,-8.07,3.173
NC(=NO)c1ccc(Sc2cccc(F)c2)c(F)c1,-8.88,2.802
COP(C)(=O)C(N)Cc1ccccc1,-6.74,2.128
CC(NS(=O)(=O)c1ccc2c(c1)OCCCO2)C(=O)O,-8.38,3.151
COC(=O)C(O)(CC(=O)Nc1ccc(Cl)cc1F)C(F)(F)F,-8.43,4.215
O=C(Nc1cccc(C(F)(F)F)c1)c1cnn(-c2cccc(F)c2)c1C1CCNCC1,-10.0,7.483
CC1(Nc2ccc(OC(F)(F)F)cn2)CCCC1NC(=O)c1ccccc1-n1nccn1,-9.53,8.323
COc1ccc(NC=O)c(C(O)CCNC(C)=O)c1,-8.22,3.673
Cc1ccc(N=C(S)NC(NC(=O)C(C)(C)C)C(Cl)(Cl)Cl)c(C)c1,-7.51,4.832
CNc1nccc(-c2cnc3c(NC(C)C)nccn23)n1,-8.28,2.839
CCN(CC)C(=O)Cn1c(SCC(=O)Nc2ccc(F)cc2)nc2ccccc21,-8.78,7.309
CC1C2Cc3ccc(O)cc3C1(C)CCN2CCNC1CCCCC1,-8.85,3.864
CCOC(=O)C(=O)Nc1ccc(F)c(F)c1,-7.71,2.446
NCCCn1c2c(c3ccc(N)cc3c1=O)C(O)c1ccccc1-2,-8.97,3.364
Cc1ccc(-c2ccc(OCCN(C)CC(=O)O)c(C(=O)c3cccs3)c2)cc1,-8.92,7.406
CCCC(=O)N(C)Cc1nc(-c2nc(C)cs2)c(-c2ccc3ncsc3c2)[nH]1,-8.73,6.055
CCCc1cc(C2CCCN2C(=O)NCc2cccc(OC)c2)no1,-8.76,5.088
CN(CCc1cnn(C)c1)C(=O)CCc1nnc(CCCc2ccccc2)o1,-8.35,7.585
O=C(c1ccc(Br)cc1)C1CCN(C2CCCCC2O)CC1,-8.8,3.392
Cc1cc(C)n2nc(-c3ccc4cc(-c5ccccc5)nn4c3)nc2n1,-9.8,3.081
NC(=O)c1nc(-c2ccccc2)c(-c2ccccc2)nc1O,-8.97,3.721
CC(C)CC(C(=O)NC(Cc1ccccc1)C(N)=O)C(CS)C(=O)NO,-8.08,7.805
CCOC(=O)n1c(=O)n(C)c2ccc(Cl)cc21,-6.79,1.902
Cc1cc(=O)n(C)cc1NC(=O)c1cn(C)nc1-c1cccs1,-7.57,3.778
O=C(O)C=Cc1ccc(C(F)(F)F)cc1,-8.16,2.2
COc1ccccc1-c1cc(NC=O)c2ncc(-c3ccc(F)cc3)n2c1,-9.39,4.771
CN(C(=O)c1ccc2c(c1)C(O)(C(F)(F)F)c1ccccc1-2)C1CCC1,-10.3,3.872
O=C(Cc1ccc(F)cc1)NC1C(O)OC(CO)C(O)C1O,-8.89,3.953
COc1ccc(-[n+]2c(-c3ccc(Br)cc3)cn3c2CCC3)cc1,-8.15,3.746
CSc1ccc(C(O)C(O)CO)cc1,-7.35,2.092
COc1ccc(OC)c(-c2cc(C(=O)NN=Cc3ccc(F)cc3)c3ccccc3n2)c1,-10.04,7.202
COc1ccc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2ccccc2OC)N3)cc1,-9.8,7.417
COCCNc1nn2c(-c3ccc(OC)cc3)nnc2c2ccccc12,-8.86,4.27
CCCOc1cc(C)c(N(CC)C(=O)CN)c(C)c1,-6.48,3.386
Cc1cccc(C)c1NC(=O)CCCCC(=O)NO,-8.13,3.707
CN(c1ccc(C(C)(O)C(F)(F)F)cc1)S(=O)(=O)c1ccccc1,-9.19,4.216
CNCCc1c[nH]c(-c2cccc(C(F)(F)F)c2)n1,-7.76,3.454
COCCNCCCCSc1ccc(Cl)cc1,-6.23,3.904
CN1CCC(N(c2nc3cc[nH]c(=O)c3c3cc(F)ccc23)C2CC2)CC1,-9.34,3.879
COC(=O)C=Cc1ccc(N(C)C)cc1,-7.06,2.165
CCOC(=O)c1c(NC(=O)NC2CCCCC2)sc(C)c1C,-7.95,3.825
CCC(C)CN(C)S(=O)(=O)c1ccc(OC)c(N)c1,-7.21,3.462
Cc1ccc(NC(=O)NCCO)cc1C(F)(F)F,-8.65,3.042
COc1cc(C=CC(=O)OCC(=O)NC(=O)NC(C)C)ccc1OCC#N,-8.25,7.106
CC(C)OCCCNC(=O)CS(=O)(=O)Cc1ccc(C(C)C)cc1,-7.94,6.08
CCCCNC(=O)c1cccc(NC(=O)C(C)Br)c1,-7.47,3.714
CC(C)CCNc1ccc2cc(C#N)c3nc4ccccc4n3c2c1,-8.56,3.648
COc1ccc(OC)c(CNC(=O)N2CCC(n3cncn3)CC2)c1,-8.4,4.292
COC(=O)c1ccc(NC(=S)NC(=O)CC(C)(C)C)cc1,-7.62,4.283
Clc1ccccc1CNc1nc2ccccc2n2cnnc12,-8.96,2.959
O=C(Nc1cc(C2CCCCC2)[nH]n1)c1ccc(Br)cc1,-9.23,3.028
COCCNC(=O)c1nnc(-c2oc3ccc(C)cc3c2C)o1,-8.68,3.75
COc1ccc(C(C)NC(=O)C(C)OC)c(OC)c1,-7.13,3.405
O=C(O)C(Cc1ccccc1)CN(O)C(=O)CCc1ccccc1,-8.68,5.737
C=CCSc1nc(N)c(C(=O)Nc2ccccc2C)cc1C(N)=O,-8.55,4.89
O=C(CCCCC(S)CCS)Nc1cccc(C(F)(F)F)c1,-7.37,5.094
CC(Cc1ccccc1)N=CC(Cl)(Cl)Cl,-6.7,2.231
NC(=O)c1cc(F)cc2[nH]n(C3CCNCC3)c(=O)c12,-8.74,2.928
CC=CC(=O)OCc1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,-9.77,3.398
CC(C)C(=O)NNC(=O)C1CC1(c1ccccc1)c1ccccc1,-8.24,4.341
COc1cc(Nc2ncc3cc(C#N)c(=O)n(C4CCCC4)c3n2)cc(OC)c1OC,-8.44,6.05
COc1ccc(-c2cc(NC(=O)C3CSC4(C)CCC(=O)N34)ccc2OC(F)F)cc1,-10.3,6.273
Cc1c(C(C)(C)C)cc(O)cc1C(C)(C)C,-8.23,2.047
CCCCCn1[nH]c2ccccc2c1=O,-7.07,2.285
NCc1cnn(-c2ccccc2C(=O)NCCc2ccncc2)c1,-8.44,5.06
CCOC(=O)C(C(=O)OCC)C(=O)c1cc(OC)c(OC)c(OC)c1,-7.28,6.157
CN(C)C(=O)CNC(=O)c1ccc2cc(Oc3ccc(C(F)(F)F)cn3)ccc2n1,-9.63,5.789
