smiles,score,time
CC(C)CC(=O)NC1CCC(CCN2CCC(c3coc4ccccc34)CC2)CC1,-9.56,6.789
CSc1ccccc1OCCN1CCC(NS(=O)(=O)c2ccc(F)cc2)C1,-8.71,6.315
O=C(NC1CCC(CCN2CCC(c3coc4ccccc34)CC2)CC1)c1ccc(-c2cccnc2)cc1,-11.03,10.229
C#CC1=CCC(N(CCC)CCCCNC(=O)c2cnn3ccccc23)CC1,-8.93,7.738
CC1Oc2c(cccc2N2CCN(CCCc3c[nH]c4ccccc34)CC2)NC1=O,-10.35,5.886
CC(C)C1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]cc(c56)CC4N(C)C3)(C(C)C)C(=O)N12,-10.28,10.564
O=C1N(CCN2C3CCCC2CC3)CCN1c1cccc(Cl)c1,-9.04,3.516
CN1CCc2ccccc2Cc2[nH]c3ccccc3c2CC1,-9.05,1.993
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,-9.43,5.397
COc1ccccc1N1CCN(CCCNC(=O)NN(Cc2ccccc2)c2ccc(Br)cc2)CC1,-9.72,12.553
O=S(=O)(NC1CCN(CCCc2noc3ccccc23)C1)c1cccc(Cl)c1,-8.94,6.715
O=C(NC1CCC(CCN2CCC(c3coc4ccccc34)CC2)CC1)c1ccccc1,-10.04,7.736
Cc1cccc(S(=O)(=O)NCCN2CCN(c3nsc4ccccc34)CC2)c1,-9.54,4.954
O=c1ccc2cnc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)nc2[nH]1,-9.39,6.978
CN1CCc2cc(Cl)c(NS(=O)(=O)c3ccc(-c4ccc(Cl)cc4)cc3)cc2CC1,-9.77,5.357
OC1(c2ccc(Cl)cc2)CCN(CCCSc2ccc(F)cc2)CC1,-8.54,4.949
CCCN1CCC(c2cccc3ccccc23)CC1,-9.17,2.202
N#Cc1ccc2c(c1)CN(CC1CC1CCNC(=O)c1cc3cccnc3[nH]1)CC2,-9.83,7.374
COc1cc(CN2CCN(c3ccccc3OC)CC2)ccc1OCCCCc1cn(CCCCCCCCCCn2cc(CCCCOc3ccc(CN4CCN(c5ccccc5OC)CC4)cc3OC)nn2)nn1,-8.26,133.401
COc1ccccc1N1CCN(CCCCNC(=O)c2cc3ccccc3s2)CC1,-8.53,7.435
C1=C(c2ccccc2)CCN(Cc2cnn(-c3ccccc3)c2)C1,-9.28,4.146
Clc1cccc(N2CCN(CCCOc3ccc(-c4cn5ccccc5n4)cc3)CC2)c1Cl,-9.18,8.243
COc1ccccc1N1CCN(Cc2cc(CN3CCN(c4ccc(Cl)cc4)CC3)c3cccccc2-3)CC1,-10.92,10.541
CCN(CC)C(=O)NC1CC2c3cccc4c3C(=CC4)CC2N(C)C1,-8.54,3.292
C#CCN(CCCCN1CCN(c2cccc(Cl)c2Cl)CC1)C1CCc2ccc(O)cc2C1,-9.08,10.375
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,-9.65,5.047
CC(C)N(C(=O)NC1CCC(CCN2CCN(c3nsc4ccccc34)CC2)CC1)C(C)C,-9.22,7.004
ON=Cc1cc2cc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)ccn2n1,-9.59,8.485
Cc1cccc(S(=O)(=O)NCCCN2CCC(c3noc4cc(F)ccc34)CC2)c1,-9.53,6.993
CCCCCN1CCN2c3cccc4[nH]cc(c34)CC2C1,-8.14,2.61
COc1cccc(-c2nnc(SCCCN3CCc4ccc(-c5cc(C)on5)cc4CC3)n2C)c1,-10.72,9.914
COc1ccccc1N1CCN(CCCNC(=O)NN(Cc2ccccc2)c2ccc(Cl)cc2)CC1,-9.42,12.176
N#Cc1cnn2ccc(NC(=O)CCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc12,-8.42,7.717
CCc1cccc(N2CCN(CCC(O)CNC(=O)c3cc4ccccc4[nH]3)CC2)c1Cl,-9.17,9.066
CCOCCOCc1ccn2ncc(C(=O)NCCCN3CCN(c4ccccc4OC)CC3)c2c1,-8.35,13.804
COc1ccccc1N1CCN(Cc2cn(-c3ccccc3)nn2)CC1,-9.03,4.672
O=C1CCc2ccc(OCCCCN3CCN(c4ccc(F)c5ccccc45)CC3)nc2N1,-9.83,8.237
COC(=O)c1cc2c3c(ccc2[nH]1)OCC(CNCCCc1ccccc1)O3,-8.72,6.248
COc1ccccc1N1CCN(CCCNC(=O)OC(C)(C)C)CC1,-7.53,5.828
COc1ccccc1N1CCN(CCCNC(=O)NN(Cc2ccccc2)c2ccccc2)CC1,-9.18,11.159
N#Cc1ccc2c(c1)C1CN(Cc3ccc(F)cc3)CC1CO2,-9.05,3.017
O=C1CCc2ccc(OCCCCN3CCN(c4cccc5ccc(F)cc45)CC3)nc2N1,-10.25,8.496
COc1ccc2c(c1)C(C1=CC(C)N(C)CC1)=Nc1cc(Cl)ccc1N2,-8.96,3.633
CCOc1ccccc1OCCNC(C)Cc1ccc(OC)c(S(N)(=O)=O)c1,-7.93,8.527
CC(C)(C)c1nc(N2CCN(CCCCn3ccc(O)cc3=O)CC2)cc(C(F)(F)F)n1,-9.01,8.349
O=C1CCc2ccc(OCCCCN3CCC(c4cn(S(=O)(=O)c5ccccc5)c5ccccc45)CC3)cc2N1,-10.15,13.863
COc1ccc(F)cc1C1CC1CNCCCOc1ccc2ccc(=O)[nH]c2c1,-8.83,7.699
O=C(NC1CCC(CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1)c1ccco1,-10.15,6.428
FC(F)(F)c1cccc(N2CCN(CCCCNc3nccc4ccccc34)CC2)c1,-9.71,7.269
OC1(c2ccc(Cl)cc2)CCN(CCCOc2ccc(F)cc2)CC1,-8.74,5.298
Cc1cccc(OCCNCCCOc2ccccc2)c1,-7.51,4.743
CCCSc1ccccc1N1CCN(CCCOc2ccc(-c3nc4ccccc4[nH]3)cc2)CC1,-8.67,11.314
COc1ccccc1N1CCN(CCCCOc2ccc3c(c2)NC(=O)CC3)CC1,-8.9,7.446
c1ccc(CNCCOc2cccc3[nH]ccc23)cc1,-8.26,3.633
OC1(c2ccc(Cl)cc2)CCN(Cc2coc3ccccc23)CC1,-9.65,3.574
CCC(=O)NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1,-8.25,4.835
CCCNC1Cc2cccc3c2n(c(=O)n3CCC)C1,-7.7,3.229
CCOc1ccccc1N1CCCN(CCCCOc2ccc3ccc(=O)[nH]c3c2)CC1,-8.86,9.089
O=C1CCc2ccc(OCCCCN3CCN(c4cccc5c4OCC(=O)N5)CC3)cc2N1,-9.92,8.641
O=C(CCN1CCN(CCC(=O)OC2(c3ccc(Cl)cc3)CCN(CCCC(=O)c3ccc(F)cc3)CC2)CC1)OC1(c2ccc(Cl)cc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,-10.72,68.435
COc1ccccc1N1CCN(CCCCN2CCc3cc(-c4ccco4)ccc3C2=O)CC1,-10.2,8.912
O=C1NCCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc21,-8.95,7.134
NCCc1ccc(O)c(O)c1,-7.09,1.636
