smiles,score,time
CCC1c2ccccc2CCC1C1CCC(Cc2ccc(SC)nn2)CC1,-9.51,5.343
CNc1ccc(NS(=O)(=O)c2sc(COc3ccc(Br)cc3)cc2)cc1,-9.14,7.512
COc1cc(C)nc(Nc2cc(Br)cc(NN=C3CC(C)CC3)n2)n1,-8.86,5.05
Cc1csc(CSCc2cc(C)c(O)s2)s1C,-6.6,3.002
CC(=O)C(Cc1ccc(O)cc1)NC(=O)Cc1ccc(O)c(F)c1,-9.44,7.254
CC1CCN(Cc2cc(NS(=O)(=O)c3ccc(C4CCC4)cc3)ccc2)CC1,-9.7,8.472
CCc1ccc2sc(N3CCN(C(=O)Cc4ccc(C#N)c(OC)c4)CC3)cc2c1,-8.8,7.161
Cc1ccc2ccc(O)cc2c1C1CCCC1c1ccc(Br)cc1,-10.05,4.924
CCc1sc(Cc2cccc(Br)c2)cc1CC1CCOCC1,-8.85,4.991
OC(COc1ccc(Cl)cc1Cl)C(=O)Cc1ccccc1,-8.44,4.338
O=C(c1ccc(O)c(-c2ccc(C)cc2)c1)OC1CCC(NS(=O)(=O)c2ccccc2)C1,-10.42,11.168
CN(C)c1ccc2ccc(CS(=O)(=O)N3CCCC3C)cc2c1,-9.15,4.187
CC(C)c1ccc(C(=O)N2CCC(Cn3c(=O)[nH]c4ccccc43)CC2)cc1,-9.73,6.458
Cc1cc(NC(=O)Nc2cccc(NC(=O)Nc3cnc4c3cCC4)c2)ccc1C,-10.35,7.425
CC(C)CCc1ccc(Nc2ccc(OC)c(Cl)c2)c(Cl)c1,-8.46,5.789
O=C(O)CCCCCCCCCCn1ccc2ccccc2c1=O,-8.3,8.882
CC(C)c1nc2ccccc2n1CC1CC(C(=O)c2ccc(C)c(C)c2)CC1,-9.54,7.74
COc1ccc(C2SCS(=O)(=O)c3ccc(OC)cc3C2)cc1,-8.67,3.588
Brc1cc2c(cc1CCc1ccc(Br)cc1)CCC2,-8.91,2.771
COc1ccc(-c2nnc3n2C(=O)c2ccccc2CC3=O)cc1,-9.19,3.324
CSC1nnc(-c2ccc(OC)c(OC)c2)cc(CCCCCC)n1,-7.75,7.628
CNc1ccc(-c2ccc(NC(=O)c3cccc4ccccc3O4)cc2)cc1,-9.92,5.06
OCC(Cc1ccc(O)cc1)(c1ccc(O)cc1)c1ccc(O)cc1,-8.61,5.688
Oc1ncccc1C(=O)N1c2ccccc2Oc2ccc(F)cc21,-9.04,3.923
O=C(CCCc1ccc2c(c1)OCO2)c1c(O)ccc2[nH]ccc12,-9.6,5.373
CN(C)c1ccc(NC(=O)c2ccc3c(c2)OCO3)c(Br)c1,-8.43,4.171
CC(=O)NC1CCN(Cc2cn(-c3cc(C)ccc3O)cc2C)cC1CC,-9.39,6.647
CNc1ccc(S(=O)(=O)c2ccc(SC)c(C)c2)cc1,-8.34,3.455
Cc1ccc(OC(=O)CC2CCCS(=O)(=O)C2)cc1Cl,-8.13,4.707
C[N+]1(C)CCC(c2cccc(I)c2)CCC1CC,-7.87,2.879
COc1ccc(CNC(=O)c2ccc(NS(=O)c3ccc4c(c3)OCC4=O)cc2)cc1OC,-8.97,9.817
CN(C)CCNC(=O)c1c(-c2ccccc2C#N)cc2ccccc2c1N1CCN(C=O)C1,-8.48,13.061
Cc1ccc(NNC(=O)c2ccc(CNc3ccc4c(c3)CCC4)cc2)cc1C,-10.49,9.217
Oc1cc(-c2ccc(Cl)cc2)nc(CN2CCC(Cc3cccs3)C2)n1,-9.16,6.269
Cc1cc(NC(=O)c2ccc3cc(O)c(C=N)cc3c2)ccn1,-10.21,4.826
CCc1ccc(N2CCN(S(=O)(=O)c3ccccc3Cl)CC2)cc1,-8.97,5.588
CCC(=O)NC(=N)Nc1cc(-c2cccc(OC)c2OC)ccc1C,-10.08,5.646
COc1ccc(C2=CCS(=O)(=O)C(Cc3ccc(C)cc3C(F)(F)F)C2)c(C)c1,-10.22,6.987
COc1ccc(N2C(=O)c3ccc(Br)cc3OC2c2ccc3c(c2)OCO3)cc1O,-10.23,7.34
CN(C)C1CCN(Cc2cccc(-c3ccnc4[nH]ccc34)c2)CC1,-9.4,5.683
CCc1ccccc1C1CNC(CCCc2ccccc2)CC1,-8.92,4.653
CSc1cc(SS(=O)(=O)c2cc(C)c(C)cc2)ccc1,-8.5,4.598
COc1ccc(S(=O)(=O)N2cccc(C(=O)NN3ccc4ccc(C)cc4[nH]3)cc2)cc1,-9.93,8.425
O=C(c1cccc2ccccc12)N1CCCC(CSc2ccccc2)C1,-9.49,5.717
COc1ccc(CN(C)C(=O)C2cccc(S(=O)(=O)N3CCN(C(C)c4ccco4)CC3)cc2)cc1,-9.29,14.0
COCCN1CCN(Cc2cc(Br)cc(O)c2)CNN1,-7.5,5.091
CN(C)C1cccc(CCCC(=O)CCc2ccc3c(c2)CCCC3)cc1,-9.29,7.227
CSc1ccc(-c2cc(S(=O)N(C)c3c(F)cccc3F)ccn2)cc1,-8.89,7.774
Cc1cc(O)cc(OCC(=O)OCC(=O)c2ccc(Cl)cc2)c1,-8.46,5.881
Cc1cc(C(=O)c2ccc(S(=O)(=O)c3cccc(O)c3)[nH]cc2)cc(C)c1O,-10.42,7.098
OC(CC(=O)N(C)Cc1ccc2c(c1)CCC2)C1CCc2c(nnn2-c2cccs2)C1,-10.21,9.296
Cc1ccc(CC2CCSS(=O)(=O)c3ccc(Br)cc32)cc1,-8.87,3.497
COc1cccc(C2CCN(C(=O)COc3ccccc3F)CC2)c1,-8.86,5.079
NS(=O)(=O)CCCNC(=O)c1cc(C)cc(C(F)(F)F)c1,-8.55,5.815
Oc1ncc(CCCc2cccc(O)c2)nc1-c1cccc(O)c1,-9.48,5.917
Cc1ccc(C2=CC(=O)C2S(=O)(=O)c2ccc(Cl)c(Cl)c2)cc1,-9.14,4.746
CCc1ccccc1C1CC(c2ccccc2C#N)CC(C)CC1,-8.73,4.822
CCc1cccc(C2CC2C(=O)Nc2ccc(-n3cccn3)cc2)c1,-9.4,6.038
CCc1cccc(C=CC(=O)Cc2ccc(Br)cc2)c1,-8.92,4.716
CC(CCc1cccc(O)c1)CCc1n[nH]c(-c2ccc3c(c2)OCO3)n1,-9.78,8.111
CC(=O)c1cccc(C(=O)NC2CCCC2Cc2ccc(F)c(Cl)c2)c1,-9.94,6.548
CSc1ccc(C(=O)Nc2ccc(C)c(SC)c2S)cc1,-7.79,3.647
CCc1ccccc1C(=O)Nc1ccc(Cl)cc1C(=O)O,-8.66,5.315
O=C(CCNN1CN(C(=O)c2cccn2Sc2ccccc2Cl)c2ccccc2)cC1,-9.15,10.026
Cc1ccc(C2CCCC(CCc3ccc(Cl)cc3)C2)cc1,-9.37,4.218
Cc1ccc(C(=O)NC2CN(S(=O)(=O)c3coc4ccc(Cl)cc34)CC2)c(Cl)c1,-10.36,7.274
CC(CCc1ccc(O)c(O)c1)S(=O)(=O)c1ccc2nocnc12,-10.12,5.61
CSc1ccc(-c2cc(Cl)ccc2O)cc1CC(=O)NS(=O)=O,-8.79,5.863
CC(C)CC1CCC(c2ccc(S(=O)(=O)c3ccc4c(c3)CCCC4)cc2)CC1,-9.72,6.74
CCOC(=O)c1ccc(-c2ccc(Cl)cc2)cc1NC(=O)C1Ccc(Cl)cc1,-9.44,7.433
CCc1ccc(CNC(=O)C2CC(=O)c3ccc(Cl)cc32)cc1,-8.79,3.833
CC(C)CC(=O)Nc1ccnc(NS(=O)(=O)c2ccc(C)cc2)c1,-8.87,6.613
Cc1ccc(C2CN(C(=O)c3ccccc3OCCc3ccc(C)cc3)CC2)c(C)c1,-10.17,8.698
O=c1[nH]c(F)cnc1NNC(=S)Nc1ccc(F)c(F)c1,-8.81,4.19
CC(=O)Nc1ncc(NC(=O)CCCc2cc(Cl)cc(Cl)c2)nc1Cl,-8.98,6.255
COCc1cccc(-c2cccc(O)c2)c1-c1cccc(O)c1,-8.68,6.198
Cc1ccc(-c2cc(-c3cc(Cl)cc(Cl)c3)oc2N)cc1N,-10.18,3.181
C=Cc1ccccc1CNC1CC(c2ccc(Cl)cc2)CC1,-8.9,4.284
CC(C)CCOCc1coc(-c2cccc(Br)c2)n1,-7.62,5.052
O=C(COc1ccc(-c2ccco2)cc1)N1CCc2ccccc21,-9.28,4.723
COc1ccc(S(=O)(=O)N2CCN3CCC2(C)C3)cc1F,-8.22,4.835
CCc1ccc(S(=O)(=O)N2CCN(C(=O)c3cc(O)ccc3O)CC2)cc1,-9.53,6.264
COc1nc2cc(CCCN3CCC(c4ccccc4)CC3)ccc2[nH]1,-10.06,6.777
COc1ccc2ccc(CNC(=O)c3ccc(S(=O)(=O)c4ccco4)cc3)cc2c1,-9.49,7.209
CCc1ccc(N2CCN(C(=O)C3cccc(CC(=O)c4cc5c(C)ccc5c4)cc3)CC2)cc1,-11.13,10.323
CN(C)Cc1ccc(NC(=O)C2(C(=O)NCc3cc(F)cc(F)c3)CC2=O)cc1,-9.39,8.91
O=c1sc2c(s1-c1ccccc1OC(F)(F)F)Oc2,-7.09,2.922
CC(C)NC(=O)N=c1nnc(-c2c(F)cccc2Cl)c1N,-8.45,3.99
CCc1ccccc1Nc1ccc(-c2ccc3c(c2)OCCC3)o1,-9.21,4.652
Oc1ccc2sc(N3CCCN(S(=O)(=O)c4ccc(F)cc4Cl)CC3)cc2c1,-10.35,5.65
NCc1cc(-c2cccc(OO)c2)ccc1-c1ccc(O)cc1,-9.86,4.76
Cc1ccc(C(=O)NN(C)SS(=O)(=O)c2cccs2)s1,-7.54,5.554
Cc1cccc(CCC(=O)Nc2ccc(-c3cnc(O)nc3)cc2)c1,-9.57,5.987
Cc1ccc(C(S)S(=O)N2CCN(Cc3ccc4c(c3)CCC4)CC2)cc1,-9.34,6.693
Oc1cc(Nc2cc3c(s2)CC(c2cc(F)cc(O)c2)CC3)ccn1,-9.93,5.557
N#Cc1cccc(-c2cc(-c3cc(Cl)cc(Cl)n3)ncn2)c1,-8.55,3.033
Oc1ccc(OCC(=O)CCc2ccc(-c3ccc(Cl)cc3)cn2)c(Cl)c1,-9.05,7.222
CSc1ccc(C2CC(=O)CC(c3ccc4c(c3)OCCC4)C2)cc1,-9.28,4.461
CSCCC1CCCN1S(=O)(=O)c1cccc2ccccc12,-8.04,4.004
CS(=O)(=O)c1ccccc1CCC(=O)OCc1ccc2c(c1)OCC2=O,-8.88,6.852
NC(=O)N1CCCCN1SS(=O)(=O)c1ccc(-c2ccc(Br)cc2)cc1,-9.55,5.709
CCc1ccc(C(=O)N2CCC(Cc3c[nH]c4ccccc34)c3ccccc23)nn1,-10.43,6.645
CC(=O)c1cccc(OC2CCCN(c3ccc(C)cc3)C2)c1,-9.14,3.835
CCCc1ccc(N2CCN(c3nc4ccccc4c(=C)c3=S)CC2)c(OC)c1,-9.36,6.078
CC(=NNC1cccc(Br)cc1)C(=O)CCc1cccs1,-7.88,5.719
CCc1cc(Nc2cc(C(C)(C)C)ccc2F)css1,-8.16,4.317
CCc1cc(C)nc(C=Cc2cccc(C(=O)NCc3ccccc3)c2)n1,-9.29,6.883
CCc1ccc(-c2coc(NS(=O)(=O)c3ccc(CC(C)=O)cc3)c2)cc1,-9.83,7.309
CCc1ccc(C2CCC(Cc3ccc4c(c3)OCO4)CC2)cc1,-9.64,4.77
CC(CCc1cccc(Br)c1)c1cccc(O)c1,-8.84,2.78
O=C(O)C(CC(=O)Cc1c(Cl)cccc1F)CC(=O)C(F)(F)F,-9.15,7.084
O=C(CCCc1ccc(O)c(O)c1)C1CCCC1CCc1ccc2c(c1)CCO2,-9.95,9.477
Cc1ccccc1C1CC(c2ccccc2)CC1c1ccccc1,-8.98,4.799
OC(Cc1cccc(Br)c1)C1CCCC1Cc1ccccc1,-8.99,6.096
CNc1occc1CCc1ccc(Cl)cc1-c1ccccc1,-8.92,5.408
Cc1ccc(C2CCC(Cc3c(C)[nH]c4ccccc34)CC2)cc1,-10.13,4.178
CN(C)CC(=O)NN=Cc1cc(-c2cc(C)cc(C)c2)ccc1CC(N)=O,-9.08,7.052
O=C(NC1CCN(c2cccc3ccccc23)CC1)c1ccccc1F,-10.49,5.79
CCc1ccc(S(=O)(=O)Nc2ncc(-c3ccc4c(c3)OCO4)cc2)cc1OC,-9.18,6.717
CCSc1nnc(C2CC(C(F)(F)F)sC2CC)s1,-6.71,3.62
Oc1ccc(CCC(=O)C(NC(=O)c2cccc(O)c2)c2ccco2)cc1C,-9.53,8.366
CNc1cc(NC(=S)N2CCCCC2)cc(C(F)(F)F)c1,-7.63,5.259
O=C(CCCc1cccc(O)c1)N1CCCC(Cc2ccccc2)C1,-9.05,5.655
OC(CCC1ccc2ccccc12)CCCC(=O)c1ccco1,-8.94,7.422
NCC(=O)Cc1cc(F)ccc1NC(=O)CN(c1ccccc1)c1ccccc1,-8.91,10.405
CCC(C)NC(=c1cccc1-c1cccc(F)c1)C(F)(F)F,-8.6,5.19
Cc1ccc(N=C(N)Nc2cc3c(o2)CC(c2ccccc2F)CC3)cc1,-10.57,5.622
O=C(CCC1CCN(S(=O)(=O)c2cc(Cl)cc(Cl)c2)CC1)c1ccccn1,-9.22,7.793
CSc1ccc(N2CCN(C(=O)CSc3nc4c(C)coc4s3)CC2)cc1,-8.06,6.252
COc1ccc(NC(=O)Nc2cc(-c3ccccc3C(F)(F)F)ccc2Cl)cn1,-10.37,7.891
COc1cc(C(=O)NC2c3ccsc3C(c3ccccc3Cl)s2)ccc1Cl,-9.23,5.553
OC(Cc1cccc(Cl)c1)CCCCCCc1ccc2c(c1)OCO2,-8.86,9.439
