smiles,score,time
O=Cc1ccc(N2CCN(Cc3ncnc(-c4cc(Cl)ccc4Cl)n3)CC2)cc1,-9.46,5.832
COc1ccc(CN(C)C(=O)C2cccc(S(=O)(=O)N3CCN(C(C)c4ccco4)CC3)cc2)cc1,-9.89,14.929
Cc1ccccc1OC(Cc1ccco1)c1ccc2c(c1)OOO2,-9.47,5.018
CSc1ccc(C(S)NNCc2cccs2)cc1F,-7.63,4.966
Cc1ccc(C=CC(=O)C(Sc2ccc(F)cc2)c2ccc(Cl)cc2)cc1,-9.43,6.89
OC(CC(=O)N(C)Cc1ccc2c(c1)CCC2)C1CCc2c(nnn2-c2cccs2)C1,-9.79,9.742
CCOc1ccc(C(=O)c2ccc(OC(=O)C(=O)c3ccccc3CC)cc2)cc1,-10.03,9.921
Nc1cc(NC(=S)Nc2ccc(Cl)cc2)cc(CCc2cc(Cl)cc(Cl)c2)n1,-9.07,9.469
CCc1ccc2sc(N3CCN(C(=O)Cc4ccc(C#N)c(OC)c4)CC3)cc2c1,-9.03,8.798
O=C(NC1CCN(c2cccc3ccccc23)CC1)c1ccccc1F,-10.48,5.062
Cc1c(C=CC(=S)NC2CCCC2)sc2c1ScC2,-7.32,3.573
CSc1ccc(C2CC(=O)CC(c3ccc4c(c3)OCCC4)C2)cc1,-9.78,3.852
CSc1cc(SS(=O)(=O)c2cc(C)c(C)cc2)ccc1,-8.51,3.281
Cc1ccc(C2CCCC(CCc3ccc(Cl)cc3)C2)cc1,-8.64,3.973
NCC(=O)NCCS(=O)(=O)c1cccc(-c2cc(Cl)cc(Cl)c2)c1,-8.73,6.146
Oc1ccc2sc(N3CCCN(S(=O)(=O)c4ccc(F)cc4Cl)CC3)cc2c1,-9.91,6.05
N=C(N)NC=Cc1nn(-c2cccc(C)c2)nc1-c1ccccc1,-8.96,5.241
CCOc1ccc(C(=O)c2ccc(C(=O)c3ccc(Br)c(C)c3)cc2)cc1,-10.17,6.791
CN(C)c1ccc(NC(=S)Nc2ccc(NC(=S)S)cc2)cc1,-7.5,6.592
Cc1nc2ccccc2n1CC1CC(=O)C(Cc2cccc(Oc3cccc(Br)c3)n2)n1,-10.18,9.645
COc1ccc(NC(=O)Nc2cc(-c3ccccc3C(F)(F)F)ccc2Cl)cn1,-10.34,7.472
Cc1ccc(N=C(N)Nc2cc3c(o2)CC(c2ccccc2F)CC3)cc1,-10.41,5.402
O=C(c1ccc(Br)cc1)C1CCOCC1Cc1ccc(O)cc1,-9.06,6.367
COCc1cccc(-c2cccc(O)c2)c1-c1cccc(O)c1,-8.36,4.268
OC(c1ccc2c(c1)OCO2)C1Cc2ccccc2C1c1c[nH]c2ccccc12,-10.71,6.974
CCc1cccc(CNc2ccc(S(=O)(=O)N3CCN(c4ccccc4)CC3)[nH][nH]2)c1,-9.87,8.908
CNCC1CCN(c2ccc(S(=O)(=O)c3ccc4c(c3)CCC4)cc2)CC1,-9.24,6.824
CS(=O)(=O)c1ccccc1CCC(=O)OCc1ccc2c(c1)OCC2=O,-8.75,6.506
COC(=O)c1cc(OC)c(OC)c(ONC(CO)CCC)c1O,-7.22,7.492
Cc1ccc(C=CC(=O)c2ccccc2OC2c3ccccc3O2)cc1,-9.95,7.093
CSc1ccc(S(=O)(=O)c2ccccc2-c2ccc3[nH]c(C)cc3c2)cc1,-9.44,6.991
CC(=O)c1ccc(OCC2CC(=O)N(Cc3ccc(O)cc3)S2)cc1,-9.18,7.333
Oc1ccc(CCC(=O)C(NC(=O)c2cccc(O)c2)c2ccco2)cc1C,-9.72,9.156
O=C1C(CCc2cccc(F)c2)CC1Cc1ccc(F)cc1,-9.07,4.708
CSC1CCCC1CCc1ccc(F)cc1C(F)(F)F,-8.12,3.815
COc1ccc(N2C(=O)c3ccc(Br)cc3OC2c2ccc3c(c2)OCO3)cc1O,-10.02,6.974
OC(c1cccc(C(F)(F)F)c1)N1CCc2ccccc2C1,-9.78,5.016
Nc1nc(C)c(NC(=N)Nc2ccc(Oc3ccc(F)cc3)cc2Cl)cc1,-9.81,6.3
Oc1ccc(OCC(=O)CCc2ccc(-c3ccc(Cl)cc3)cn2)c(Cl)c1,-9.08,7.785
Cc1ccc(C(C)CS(=O)(=O)c2ccc(OCCc3ccc4c(c3)CCCC4)cc2)cc1,-10.09,9.906
O=C(C=Cc1ccc(O)c(Cl)c1)Nc1cccc(-c2ccccc2)c1,-9.69,6.244
CCCc1ccc(N2CCN(c3nc4ccccc4c(=C)c3=S)CC2)c(OC)c1,-9.17,5.367
O=C(CCC1CCN(S(=O)(=O)c2cc(Cl)cc(Cl)c2)CC1)c1ccccn1,-8.95,6.989
CN(C(=O)C1CCCC1c1ccc2c(c1)OCO2)S(=O)(=O)c1ccc2c(c1)OCO2,-10.22,8.363
C=CC1CCN(C(=O)c2ccccc2Cc2ccccc2C)CC1,-8.85,6.407
COc1ccc(C(CCc2ccc(OC)nn2)Cc2ccc(OC)cc2)cc1,-9.55,7.63
Cc1ccc(C2=CC(=O)C2S(=O)(=O)c2ccc(Cl)c(Cl)c2)cc1,-9.74,4.204
Cc1cc(OOCc2cccc(Oc3ccc4ccccc4c3)c2)ncn1,-10.19,6.807
CC(C)Oc1nc(-c2ccc3c(n2)CN(S(=O)(=O)c2ccc(F)c(F)c2)CC3O)ccc1,-10.36,9.018
CSc1cc(NC(=O)c2ccc3c(c2)OCO3)cc(S(C)(=O)=O)c1,-9.35,5.771
Cc1cc(C)n(-c2cccc(NC(=S)NNNS(O)(=O)c3ccc(Br)cc3)c2)n1,-9.94,9.252
COc1ccc(S(=O)(=O)N2cccc(C(=O)NN3ccc4ccc(C)cc4[nH]3)cc2)cc1,-9.79,8.488
Nc1cc(C(=O)NC2CCN(c3ccccc3)CC2)ccc1-c1ccccc1,-9.87,5.907
O=c1[nH]c(F)cnc1NNC(=S)Nc1ccc(F)c(F)c1,-8.83,4.973
Nc1ccc(C(=O)N2CCCC2c2ccc(CCC(=O)c3ccc4[nH]ncc4c3)cc2)cc1C,-10.57,11.555
COCCCC(=O)Cc1cc2ccc(Br)cc2s1,-7.31,3.96
CSc1ccc(C=CC(=O)C2CSC(c3coc4ccc(O)c(O)c34)C2)c(O)c1O,-9.7,9.62
